#  SAMPLE - ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1852862640.000000 208.004000 0.000104905
1 1852862720.000000 208.155000 0.000104905
2 1852862800.000000 208.302000 0.000104905
3 1852862880.000000 208.455000 0.000104905
4 1852862960.000000 208.608500 0.000104905
5 1852863040.000000 208.765000 0.000105143
6 1852863120.000000 208.920000 0.000105143
7 1852863200.000000 209.073000 0.000104905
8 1852863280.000000 209.226500 0.000104905
9 1852863360.000000 209.381000 0.000104905
10 1852863440.000000 209.537000 0.000104905
11 1852863520.000000 209.690500 0.000104905
12 1852863600.000000 209.845000 0.000104905
13 1852863680.000000 210.001500 0.000104905
14 1852863760.000000 210.153500 0.000104905
15 1852863840.000000 210.310000 0.000105143
16 1852863920.000000 210.466500 0.000104905
17 1852864000.000000 210.616500 0.000104905
18 1852864080.000000 210.775000 0.000104905
19 1852864160.000000 210.930000 0.000104905
20 1852864240.000000 211.082500 0.000104905
21 1852864320.000000 211.238500 0.000104905
22 1852864400.000000 211.389500 0.000105143
23 1852864480.000000 211.547000 0.000105143
24 1852864560.000000 211.703500 0.000104905
25 1852864640.000000 211.858500 0.000104905
26 1852864720.000000 212.013500 0.000104905
27 1852864800.000000 212.169500 0.000104905
28 1852864880.000000 212.326500 0.000104905
