#  SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1859369420.000000 208.006000 0.000175477
1 1859369500.000000 208.155000 0.000175239
2 1859369580.000000 208.302000 0.000175239
3 1859369660.000000 208.454000 0.000175239
4 1859369740.000000 208.606000 0.000175477
5 1859369820.000000 208.763500 0.000175477
6 1859369900.000000 208.919000 0.000175477
7 1859369980.000000 209.069000 0.000175477
8 1859370060.000000 209.224000 0.000175239
9 1859370140.000000 209.375500 0.000175239
10 1859370220.000000 209.532500 0.000175239
11 1859370300.000000 209.688500 0.000175239
12 1859370380.000000 209.841500 0.000175239
13 1859370460.000000 209.996000 0.000175239
14 1859370540.000000 210.150500 0.000175239
15 1859370620.000000 210.307500 0.000175477
16 1859370700.000000 210.462500 0.000175477
17 1859370780.000000 210.613000 0.000175477
18 1859370860.000000 210.771000 0.000175239
19 1859370940.000000 210.925500 0.000175
20 1859371020.000000 211.080500 0.000174762
21 1859371100.000000 211.235000 0.000175
22 1859371180.000000 211.387500 0.000175
23 1859371260.000000 211.545000 0.000175239
24 1859371340.000000 211.698000 0.000175477
25 1859371420.000000 211.854000 0.000175477
26 1859371500.000000 212.012500 0.000175477
27 1859371580.000000 212.164500 0.000175477
28 1859371660.000000 212.322500 0.000175
29 1859371740.000000 212.479500 0.000174762
