# SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1844592843.000000 208.018000 0.000103713
1 1844592940.000000 208.175500 0.000103474
2 1844593020.000000 208.327500 0.000103713
3 1844593100.000000 208.486000 0.000103474
4 1844593180.000000 208.639500 0.000103474
5 1844593260.000000 208.793000 0.000103713
6 1844593340.000000 208.949500 0.000103713
7 1844593420.000000 209.103000 0.000103713
8 1844593500.000000 209.256500 0.000103713
9 1844593580.000000 209.413000 0.000103474
10 1844593660.000000 209.564000 0.000103713
11 1844593740.000000 209.721500 0.000103474
12 1844593820.000000 209.875000 0.000103474
13 1844593900.000000 210.028500 0.000103474
14 1844593980.000000 210.183500 0.000103713
15 1844594060.000000 210.338500 0.000103474
16 1844594140.000000 210.494000 0.000103474
17 1844594220.000000 210.646500 0.000103474
18 1844594300.000000 210.804000 0.000103474
19 1844594380.000000 210.960000 0.000103474
20 1844594460.000000 211.111500 0.000103474
21 1844594540.000000 211.268500 0.000103474
22 1844594620.000000 211.424000 0.000103474
23 1844594700.000000 211.580500 0.000103474
24 1844594780.000000 211.733000 0.000103474
25 1844594860.000000 211.887500 0.000103474
26 1844594940.000000 212.042500 0.000103474
27 1844595020.000000 212.199000 0.000103474
28 1844595100.000000 212.355500 0.000103474
29 1844595180.000000 212.508500 0.000103474
