#   SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1849386143.000000 208.008500 0.000172854
1 1849386220.000000 208.151500 0.000172616
2 1849386300.000000 208.303500 0.000172616
3 1849386380.000000 208.455500 0.000172616
4 1849386460.000000 208.601000 0.000172616
5 1849386540.000000 208.754500 0.000172854
6 1849386620.000000 208.906000 0.000173093
7 1849386700.000000 209.062500 0.000173093
8 1849386780.000000 209.216500 0.000173093
9 1849386860.000000 209.370500 0.000172854
10 1849386940.000000 209.524000 0.000172616
11 1849387020.000000 209.679000 0.000172616
12 1849387100.000000 209.832000 0.000172616
13 1849387180.000000 209.988000 0.000172616
14 1849387260.000000 210.142000 0.000172854
15 1849387340.000000 210.296000 0.000173093
16 1849387420.000000 210.452000 0.000173093
17 1849387500.000000 210.606500 0.000173093
18 1849387580.000000 210.764000 0.000172854
19 1849387660.000000 210.915000 0.000172616
20 1849387740.000000 211.071000 0.000172616
21 1849387820.000000 211.228500 0.000172616
22 1849387900.000000 211.381000 0.000172616
23 1849387980.000000 211.534500 0.000172616
24 1849388060.000000 211.690500 0.000172854
25 1849388140.000000 211.847500 0.000173093
26 1849388220.000000 212.004000 0.000173093
27 1849388300.000000 212.157000 0.000173093
28 1849388380.000000 212.315500 0.000172854
29 1849388460.000000 212.471500 0.000172616
