# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1851667160.000000 208.007500 0.000176908
1 1851667240.000000 208.157000 0.000176669
2 1851667320.000000 208.303500 0.000176669
3 1851667400.000000 208.455500 0.000176669
4 1851667480.000000 208.609500 0.000176908
5 1851667560.000000 208.766000 0.000176908
6 1851667640.000000 208.921000 0.000176908
7 1851667720.000000 209.073500 0.000176908
8 1851667800.000000 209.229500 0.000176908
9 1851667880.000000 209.381500 0.000176669
10 1851667960.000000 209.537000 0.000176669
11 1851668040.000000 209.693000 0.000176669
12 1851668120.000000 209.845500 0.000176669
13 1851668200.000000 210.002500 0.000176669
14 1851668280.000000 210.156000 0.000176669
15 1851668360.000000 210.310500 0.000176908
16 1851668440.000000 210.466500 0.000176908
17 1851668520.000000 210.620500 0.000176908
18 1851668600.000000 210.774500 0.000176669
19 1851668680.000000 210.926000 0.000176431
20 1851668760.000000 211.082000 0.000176431
21 1851668840.000000 211.239500 0.000176431
22 1851668920.000000 211.391000 0.000176669
23 1851669000.000000 211.546000 0.000176669
24 1851669080.000000 211.703000 0.000176908
25 1851669160.000000 211.859500 0.000176908
26 1851669240.000000 212.015500 0.000176908
27 1851669320.000000 212.168000 0.000176908
28 1851669400.000000 212.326500 0.000176431
29 1851669480.000000 212.483000 0.000176431
