#  NO SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning x-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2319851280.000000 172.911000 0.000212491
1 2319851360.000000 173.024000 0.000212402
2 2319851440.000000 173.141500 0.000212342
3 2319851520.000000 173.256000 0.000212223
4 2319851600.000000 173.371500 0.000212134
5 2319851680.000000 173.484000 0.000212164
6 2319851760.000000 173.601000 0.000212193
7 2319851840.000000 173.713500 0.000212283
8 2319851920.000000 173.830000 0.000212372
9 2319852000.000000 173.946000 0.000212342
10 2319852080.000000 174.061000 0.000212372
11 2319852160.000000 174.176000 0.000212283
12 2319852240.000000 174.291000 0.000212223
13 2319852320.000000 174.408500 0.000212193
14 2319852400.000000 174.520500 0.000212074
15 2319852480.000000 174.638000 0.000212074
16 2319852560.000000 174.752500 0.000212134
17 2319852640.000000 174.867500 0.000212313
18 2319852720.000000 174.981500 0.000212313
19 2319852800.000000 175.099000 0.000212313
20 2319852880.000000 175.212500 0.000212193
21 2319852960.000000 175.327000 0.000212015
22 2319853040.000000 175.442000 0.000211985
23 2319853120.000000 175.556500 0.000211925
24 2319853200.000000 175.673000 0.000211925
25 2319853280.000000 175.787500 0.000212074
26 2319853360.000000 175.903500 0.000212134
27 2319853440.000000 176.018000 0.000212223
28 2319853520.000000 176.137000 0.000212223
29 2319853600.000000 176.252000 0.000212193
30 2319853680.000000 176.366500 0.000212044
31 2319853760.000000 176.481000 0.000211925
32 2319853840.000000 176.597500 0.000211866
33 2319853920.000000 176.715500 0.000211866
34 2319854000.000000 176.829500 0.000211925
35 2319854080.000000 176.946500 0.000212074
36 2319854160.000000 177.060500 0.000212193
