#  SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning x-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2321932804.000000 172.926500 0.000208379
1 2321932900.000000 173.038000 0.000208379
2 2321932980.000000 173.156500 0.000208319
3 2321933060.000000 173.268000 0.0002082
4 2321933140.000000 173.384500 0.00020817
5 2321933220.000000 173.495500 0.00020817
6 2321933300.000000 173.613000 0.0002082
7 2321933380.000000 173.728000 0.00020826
8 2321933460.000000 173.843000 0.00020826
9 2321933540.000000 173.959000 0.000208319
10 2321933620.000000 174.072000 0.000208289
11 2321933700.000000 174.188000 0.00020823
12 2321933780.000000 174.303500 0.0002082
13 2321933860.000000 174.420000 0.0002082
14 2321933940.000000 174.532500 0.000208111
15 2321934020.000000 174.649500 0.0002082
16 2321934100.000000 174.763500 0.00020823
17 2321934180.000000 174.881000 0.00020826
18 2321934260.000000 174.992000 0.000208319
19 2321934340.000000 175.111000 0.00020826
20 2321934420.000000 175.223500 0.00020823
21 2321934500.000000 175.339500 0.0002082
22 2321934580.000000 175.456000 0.000207962
23 2321934660.000000 175.571500 0.000207991
24 2321934740.000000 175.686000 0.000207872
25 2321934820.000000 175.800500 0.000208021
26 2321934900.000000 175.918000 0.000208111
27 2321934980.000000 176.030500 0.00020826
28 2321935060.000000 176.149500 0.00020826
29 2321935140.000000 176.262500 0.00020817
30 2321935220.000000 176.380500 0.000208111
31 2321935300.000000 176.496000 0.000207991
32 2321935380.000000 176.610500 0.000207962
33 2321935460.000000 176.727000 0.000207932
34 2321935540.000000 176.843000 0.000207991
35 2321935620.000000 176.962000 0.000208081
36 2321935700.000000 177.073000 0.00020817
37 2321935780.000000 177.191500 0.00020817
38 2321935860.000000 177.306000 0.000208081
39 2321935940.000000 177.422500 0.000208051
40 2321936020.000000 177.538000 0.000207962
41 2321936100.000000 177.655500 0.000207783
42 2321936180.000000 177.771500 0.000207783
43 2321936260.000000 177.883500 0.000207902
44 2321936340.000000 178.000000 0.000207991
45 2321936420.000000 178.113000 0.000208081
46 2321936500.000000 178.232000 0.00020814
47 2321936580.000000 178.343500 0.000207991
48 2321936660.000000 178.460000 0.000208021
49 2321936740.000000 178.573500 0.000207962
50 2321936820.000000 178.691000 0.000207783
51 2321936900.000000 178.804000 0.000207664
52 2321936980.000000 178.920500 0.000207634
53 2321937060.000000 179.037000 0.000207902
54 2321937140.000000 179.152500 0.000207962
