#  SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2298887380.000000 172.930500 0.000207991
1 2298887460.000000 173.041500 0.000207902
2 2298887540.000000 173.160500 0.000207783
3 2298887620.000000 173.273500 0.000207664
4 2298887700.000000 173.399000 0.000207664
5 2298887780.000000 173.508000 0.000207664
6 2298887860.000000 173.624000 0.000207753
7 2298887940.000000 173.739500 0.000207842
8 2298888020.000000 173.850000 0.000207842
9 2298888100.000000 173.954000 0.000207842
10 2298888180.000000 174.068500 0.000207902
11 2298888260.000000 174.181500 0.000207753
12 2298888340.000000 174.295000 0.000207664
13 2298888420.000000 174.410500 0.000207693
14 2298888500.000000 174.525000 0.000207604
15 2298888580.000000 174.642500 0.000207604
16 2298888660.000000 174.754000 0.000207753
17 2298888740.000000 174.871000 0.000207872
18 2298888820.000000 174.986000 0.000207872
19 2298888900.000000 175.101000 0.000207842
20 2298888980.000000 175.216000 0.000207813
21 2298889060.000000 175.330000 0.000207634
22 2298889140.000000 175.446500 0.000207574
23 2298889220.000000 175.561000 0.000207604
24 2298889300.000000 175.677500 0.000207604
25 2298889380.000000 175.789000 0.000207664
26 2298889460.000000 175.907000 0.000207723
27 2298889540.000000 176.022000 0.000207783
28 2298889620.000000 176.139000 0.000207723
29 2298889700.000000 176.252500 0.000207693
30 2298889780.000000 176.371500 0.000207664
31 2298889860.000000 176.487000 0.000207574
32 2298889940.000000 176.602000 0.000207515
