#  NO SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2299472960.000000 172.920000 0.000212909
1 2299473040.000000 173.023500 0.000212849
2 2299473120.000000 173.140000 0.000212819
3 2299473200.000000 173.255500 0.00021267
4 2299473280.000000 173.369000 0.000212611
5 2299473360.000000 173.483000 0.000212551
6 2299473440.000000 173.600000 0.0002127
7 2299473520.000000 173.712500 0.00021276
8 2299473600.000000 173.828500 0.000212849
9 2299473680.000000 173.945500 0.000212879
10 2299473760.000000 174.060500 0.00021276
11 2299473840.000000 174.175500 0.000212819
12 2299473920.000000 174.289500 0.0002127
13 2299474000.000000 174.407000 0.000212551
14 2299474080.000000 174.519000 0.000212491
15 2299474160.000000 174.636000 0.000212581
16 2299474240.000000 174.751000 0.000212641
17 2299474320.000000 174.867500 0.0002127
18 2299474400.000000 174.980000 0.000212819
19 2299474480.000000 175.097500 0.00021273
20 2299474560.000000 175.210500 0.00021267
21 2299474640.000000 175.326500 0.000212581
22 2299474720.000000 175.443500 0.000212491
23 2299474800.000000 175.558500 0.000212432
24 2299474880.000000 175.674000 0.000212491
25 2299474960.000000 175.787500 0.000212611
26 2299475040.000000 175.902500 0.00021267
27 2299475120.000000 176.016500 0.00021273
28 2299475200.000000 176.135500 0.000212819
29 2299475280.000000 176.250500 0.00021273
30 2299475360.000000 176.366500 0.000212611
31 2299475440.000000 176.484000 0.000212462
32 2299475520.000000 176.597000 0.000212432
33 2299475600.000000 176.715000 0.000212432
34 2299475680.000000 176.830500 0.000212551
35 2299475760.000000 176.947000 0.00021273
36 2299475840.000000 177.060500 0.000212849
37 2299475920.000000 177.179500 0.000212909
38 2299476000.000000 177.292000 0.000212939
39 2299476080.000000 177.409000 0.000212849
40 2299476160.000000 177.524500 0.000212551
41 2299476240.000000 177.638500 0.000212491
42 2299476320.000000 177.757500 0.000212342
43 2299476400.000000 177.871500 0.000212402
44 2299476480.000000 177.988500 0.000212462
45 2299476560.000000 178.100000 0.000212581
46 2299476640.000000 178.218000 0.00021273
47 2299476720.000000 178.329000 0.0002127
48 2299476800.000000 178.446500 0.000212641
49 2299476880.000000 178.561000 0.000212372
50 2299476960.000000 178.675500 0.000212283
51 2299477040.000000 178.790500 0.000212313
52 2299477120.000000 178.907500 0.000212283
53 2299477200.000000 179.023000 0.000212342
54 2299477280.000000 179.135000 0.000212581
55 2299477360.000000 179.253000 0.000212551
56 2299477440.000000 179.365000 0.0002127
57 2299477520.000000 179.482500 0.00021273
58 2299477600.000000 179.596500 0.000212491
59 2299477680.000000 179.713500 0.000212372
60 2299477760.000000 179.826000 0.000212283
61 2299477840.000000 179.944000 0.000212283
62 2299477920.000000 180.057500 0.000212402
63 2299478000.000000 180.172500 0.000212581
64 2299478080.000000 180.288500 0.0002127
65 2299478160.000000 180.401000 0.000212849
66 2299478240.000000 180.517000 0.00021276
67 2299478320.000000 180.632000 0.000212611
68 2299478400.000000 180.750000 0.000212402
69 2299478480.000000 180.862000 0.000212313
70 2299478560.000000 180.978500 0.000212313
71 2299478640.000000 181.095500 0.000212342
72 2299478720.000000 181.210000 0.000212551
73 2299478800.000000 181.325500 0.000212611
74 2299478880.000000 181.444000 0.00021276
75 2299478960.000000 181.560500 0.0002127
76 2299479040.000000 181.675000 0.000212581
77 2299479120.000000 181.793000 0.000212402
78 2299479200.000000 181.909000 0.000212283
79 2299479280.000000 182.026500 0.000212193
80 2299479360.000000 182.139000 0.000212342
81 2299479440.000000 182.257000 0.000212462
82 2299479520.000000 182.370500 0.00021267
83 2299479600.000000 182.485000 0.000212641
84 2299479680.000000 182.600500 0.000212641
85 2299479760.000000 182.715500 0.000212581
86 2299479840.000000 182.833500 0.000212402
87 2299479920.000000 182.949000 0.000212223
88 2299480000.000000 183.066000 0.000212164
89 2299480080.000000 183.179500 0.000212164
90 2299480160.000000 183.298500 0.000212283
91 2299480240.000000 183.413000 0.000212462
92 2299480320.000000 183.528000 0.000212641
93 2299480400.000000 183.641000 0.000212641
94 2299480480.000000 183.757000 0.000212551
95 2299480560.000000 183.871000 0.000212342
96 2299480640.000000 183.985500 0.000212372
97 2299480720.000000 184.102500 0.000212313
98 2299480800.000000 184.217000 0.000212223
99 2299480880.000000 184.333500 0.000212342
100 2299480960.000000 184.448500 0.000212521
101 2299481040.000000 184.563000 0.000212611
102 2299481120.000000 184.677500 0.00021273
103 2299481200.000000 184.795000 0.000212551
104 2299481280.000000 184.906000 0.000212402
105 2299481360.000000 185.023000 0.000212342
106 2299481440.000000 185.139000 0.000212253
107 2299481520.000000 185.252500 0.000212253
108 2299481600.000000 185.368500 0.000212313
109 2299481680.000000 185.484000 0.000212491
110 2299481760.000000 185.601500 0.000212551
111 2299481840.000000 185.714500 0.000212581
112 2299481920.000000 185.831000 0.000212641
113 2299482000.000000 185.947000 0.000212611
114 2299482080.000000 186.062000 0.000212551
115 2299482160.000000 186.176500 0.000212491
116 2299482240.000000 186.295000 0.000212551
117 2299482320.000000 186.409500 0.000212611
118 2299482400.000000 186.524500 0.000212849
119 2299482480.000000 186.641500 0.000212819
120 2299482560.000000 186.756000 0.000212849
121 2299482640.000000 186.873500 0.000212849
122 2299482720.000000 186.989000 0.000212819
123 2299482800.000000 187.106500 0.00021273
124 2299482880.000000 187.219500 0.00021267
125 2299482960.000000 187.339000 0.00021273
126 2299483041.000000 187.453000 0.00021267
127 2299483120.000000 187.566000 0.0002127
128 2299483200.000000 187.681500 0.0002127
129 2299483280.000000 187.797000 0.00021273
130 2299483360.000000 187.914000 0.00021276
131 2299483440.000000 188.025500 0.00021267
132 2299483520.000000 188.145500 0.00021273
133 2299483600.000000 188.259000 0.0002127
134 2299483680.000000 188.377000 0.0002127
135 2299483760.000000 188.488000 0.000212641
136 2299483840.000000 188.607000 0.000212581
137 2299483920.000000 188.721000 0.000212611
138 2299484000.000000 188.834000 0.00021273
139 2299484080.000000 188.949000 0.00021273
140 2299484160.000000 189.063500 0.000212909
141 2299484240.000000 189.180500 0.000212849
142 2299484320.000000 189.296000 0.000212849
143 2299484400.000000 189.412000 0.000212909
144 2299484480.000000 189.525500 0.00021267
145 2299484560.000000 189.643000 0.00021273
146 2299484640.000000 189.755000 0.0002127
147 2299484720.000000 189.873000 0.000212819
148 2299484800.000000 189.987000 0.000212819
149 2299484880.000000 190.101500 0.000212939
150 2299484960.000000 190.217500 0.000212968
151 2299485040.000000 190.332500 0.000212998
152 2299485120.000000 190.446500 0.000213028
153 2299485200.000000 190.562000 0.000212819
154 2299485280.000000 190.677500 0.00021267
155 2299485360.000000 190.791000 0.000212581
156 2299485440.000000 190.909500 0.000212641
157 2299485520.000000 191.023000 0.00021276
158 2299485600.000000 191.140000 0.000212879
159 2299485680.000000 191.255000 0.000212968
160 2299485760.000000 191.369000 0.000213088
161 2299485840.000000 191.485500 0.000213117
162 2299485920.000000 191.604000 0.000213028
163 2299486000.000000 191.718000 0.000212879
164 2299486080.000000 191.834500 0.000212819
165 2299486160.000000 191.951500 0.0002127
166 2299486240.000000 192.065000 0.0002127
167 2299486320.000000 192.184500 0.000212909
168 2299486400.000000 192.297000 0.000213147
169 2299486480.000000 192.415500 0.000213237
170 2299486560.000000 192.530500 0.000213147
171 2299486640.000000 192.645000 0.000213058
172 2299486720.000000 192.762000 0.000212879
173 2299486800.000000 192.878000 0.00021279
174 2299486880.000000 192.994500 0.00021276
175 2299486960.000000 193.107000 0.000212819
176 2299487040.000000 193.226500 0.000212968
177 2299487120.000000 193.338500 0.000213177
178 2299487200.000000 193.455500 0.000213266
179 2299487280.000000 193.569500 0.000213266
180 2299487360.000000 193.686500 0.000213117
181 2299487440.000000 193.801000 0.000212939
182 2299487520.000000 193.916000 0.000212879
183 2299487600.000000 194.029500 0.000212819
184 2299487680.000000 194.145500 0.000212968
185 2299487760.000000 194.263000 0.000213058
186 2299487840.000000 194.377500 0.000213296
187 2299487920.000000 194.492000 0.000213386
188 2299488000.000000 194.605500 0.000213445
189 2299488080.000000 194.722500 0.000213266
190 2299488160.000000 194.837500 0.000213177
191 2299488240.000000 194.953500 0.000212968
192 2299488320.000000 195.067000 0.000212879
193 2299488400.000000 195.184000 0.000212849
194 2299488480.000000 195.300000 0.000213117
195 2299488560.000000 195.413500 0.000213326
196 2299488640.000000 195.531500 0.000213624
197 2299488720.000000 195.646000 0.000213713
198 2299488800.000000 195.761000 0.000213713
199 2299488880.000000 195.875500 0.000213594
200 2299488960.000000 195.993500 0.000213356
201 2299489040.000000 196.105500 0.000213266
202 2299489120.000000 196.224000 0.000213058
203 2299489200.000000 196.338500 0.000213147
204 2299489280.000000 196.454000 0.000213356
205 2299489360.000000 196.569500 0.000213445
206 2299489440.000000 196.686500 0.000213713
207 2299489520.000000 196.801500 0.000213564
208 2299489600.000000 196.918000 0.000213535
209 2299489680.000000 197.033000 0.000213326
210 2299489760.000000 197.147500 0.000213177
211 2299489840.000000 197.267500 0.000213088
212 2299489920.000000 197.381500 0.000213147
213 2299490000.000000 197.497000 0.000213415
214 2299490080.000000 197.612500 0.000213564
215 2299490160.000000 197.728500 0.000213624
216 2299490240.000000 197.844000 0.000213684
217 2299490320.000000 197.958500 0.000213594
218 2299490400.000000 198.074000 0.000213475
219 2299490480.000000 198.188000 0.000213237
220 2299490560.000000 198.306000 0.000213147
221 2299490640.000000 198.420000 0.000213117
222 2299490720.000000 198.536000 0.000213266
223 2299490800.000000 198.650000 0.000213564
224 2299490880.000000 198.768000 0.000213684
225 2299490960.000000 198.878500 0.000213833
226 2299491040.000000 198.993000 0.000213833
227 2299491120.000000 199.108000 0.000213564
228 2299491200.000000 199.224500 0.000213326
229 2299491280.000000 199.341500 0.000213296
230 2299491360.000000 199.454000 0.000213117
231 2299491440.000000 199.571500 0.000213326
232 2299491520.000000 199.686000 0.000213445
233 2299491600.000000 199.804500 0.000213743
234 2299491680.000000 199.917000 0.000213773
235 2299491760.000000 200.034500 0.000213773
236 2299491840.000000 200.147500 0.000213624
237 2299491920.000000 200.262000 0.000213386
238 2299492000.000000 200.378000 0.000213237
239 2299492080.000000 200.493000 0.000213266
240 2299492160.000000 200.610000 0.000213356
241 2299492240.000000 200.722500 0.000213445
242 2299492320.000000 200.840000 0.000213505
243 2299492400.000000 200.953500 0.000213624
244 2299492480.000000 201.069500 0.000213505
245 2299492560.000000 201.182500 0.000213505
246 2299492640.000000 201.300500 0.000213266
247 2299492720.000000 201.412500 0.000213117
248 2299492800.000000 201.530500 0.000213028
249 2299492880.000000 201.646500 0.000212968
250 2299492960.000000 201.762500 0.000213177
251 2299493040.000000 201.877000 0.000213266
252 2299493120.000000 201.994500 0.000213326
253 2299493200.000000 202.109000 0.000213415
254 2299493280.000000 202.224000 0.000213207
255 2299493360.000000 202.342000 0.000213177
256 2299493440.000000 202.457000 0.000213028
257 2299493520.000000 202.573000 0.000212939
258 2299493600.000000 202.689000 0.000212968
259 2299493680.000000 202.806500 0.000212909
260 2299493760.000000 202.920500 0.000212998
261 2299493840.000000 203.036000 0.000213028
262 2299493920.000000 203.154500 0.000213117
263 2299494000.000000 203.267500 0.000213117
264 2299494080.000000 203.384000 0.000213028
265 2299494160.000000 203.499000 0.000213028
266 2299494240.000000 203.614000 0.000212968
267 2299494320.000000 203.730000 0.000212849
268 2299494400.000000 203.845500 0.00021273
269 2299494480.000000 203.959500 0.00021273
270 2299494560.000000 204.076500 0.000212879
271 2299494640.000000 204.190000 0.000212909
272 2299494720.000000 204.303500 0.000213028
273 2299494800.000000 204.418500 0.000213028
274 2299494880.000000 204.534500 0.000213028
275 2299494960.000000 204.651000 0.000212968
