# NO  SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2300854560.000000 172.916500 0.000212402
1 2300854640.000000 173.041000 0.000212283
2 2300854720.000000 173.153500 0.000212193
3 2300854820.000000 173.273000 0.000212134
4 2300854900.000000 173.390500 0.000212104
5 2300854980.000000 173.502500 0.000212044
6 2300855060.000000 173.620500 0.000212104
7 2300855140.000000 173.736000 0.000212164
8 2300855220.000000 173.852500 0.000212223
9 2300855300.000000 173.968000 0.000212283
10 2300855380.000000 174.084500 0.000212193
11 2300855460.000000 174.200000 0.000212193
12 2300855540.000000 174.313500 0.000212015
13 2300855620.000000 174.428500 0.000211955
14 2300855700.000000 174.543500 0.000211895
15 2300855780.000000 174.661000 0.000211925
16 2300855860.000000 174.772500 0.000212134
17 2300855940.000000 174.890500 0.000212193
18 2300856020.000000 175.002000 0.000212193
19 2300856100.000000 175.120000 0.000212253
20 2300856180.000000 175.234500 0.000212044
21 2300856260.000000 175.351500 0.000212044
22 2300856340.000000 175.464500 0.000211895
23 2300856420.000000 175.581500 0.000211895
24 2300856500.000000 175.695000 0.000211895
25 2300856580.000000 175.808500 0.000211985
26 2300856660.000000 175.923000 0.000212134
27 2300856740.000000 176.038000 0.000212164
28 2300856820.000000 176.156500 0.000212253
29 2300856900.000000 176.272000 0.000212164
30 2300856980.000000 176.389500 0.000212015
31 2300857060.000000 176.503500 0.000211925
32 2300857140.000000 176.620000 0.000211925
33 2300857220.000000 176.737000 0.000211925
34 2300857300.000000 176.851500 0.000212015
35 2300857380.000000 176.970500 0.000212134
36 2300857460.000000 177.082500 0.000212193
37 2300857540.000000 177.199000 0.000212193
38 2300857620.000000 177.313000 0.000212283
39 2300857700.000000 177.432500 0.000212134
40 2300857780.000000 177.547500 0.000211985
41 2300857860.000000 177.663000 0.000211925
42 2300857940.000000 177.780500 0.000211895
43 2300858020.000000 177.893000 0.000212044
44 2300858100.000000 178.009500 0.000212253
45 2300858180.000000 178.125000 0.000212313
46 2300858260.000000 178.241500 0.000212342
47 2300858340.000000 178.353500 0.000212193
48 2300858420.000000 178.471000 0.000212074
49 2300858500.000000 178.582000 0.000211925
50 2300858580.000000 178.701000 0.000211776
51 2300858660.000000 178.815000 0.000211746
52 2300858740.000000 178.930500 0.000211806
53 2300858820.000000 179.045500 0.000211895
54 2300858900.000000 179.161000 0.000212044
55 2300858980.000000 179.275000 0.000212164
56 2300859060.000000 179.390000 0.000212134
57 2300859140.000000 179.504500 0.000212015
58 2300859220.000000 179.619000 0.000211895
59 2300859300.000000 179.736000 0.000211717
60 2300859380.000000 179.850000 0.000211717
61 2300859460.000000 179.965500 0.000211717
62 2300859540.000000 180.080000 0.000211866
63 2300859620.000000 180.195000 0.000211925
64 2300859700.000000 180.310000 0.000212015
65 2300859780.000000 180.426500 0.000212193
66 2300859860.000000 180.540500 0.000211925
67 2300859940.000000 180.654500 0.000211985
68 2300860020.000000 180.769500 0.000211776
69 2300860100.000000 180.884000 0.000211717
70 2300860180.000000 181.000500 0.000211657
71 2300860260.000000 181.116500 0.000211746
72 2300860340.000000 181.234000 0.000212015
73 2300860420.000000 181.350000 0.000212253
74 2300860500.000000 181.466500 0.000212134
75 2300860580.000000 181.581000 0.000212044
76 2300860660.000000 181.698500 0.000211925
77 2300860740.000000 181.814500 0.000211746
78 2300860820.000000 181.931000 0.000211597
79 2300860900.000000 182.050500 0.000211597
80 2300860980.000000 182.160500 0.000211657
81 2300861060.000000 182.279000 0.000211895
82 2300861140.000000 182.392500 0.000212015
83 2300861220.000000 182.507500 0.000212134
84 2300861300.000000 182.624500 0.000212015
85 2300861380.000000 182.739000 0.000211925
86 2300861460.000000 182.856500 0.000211746
87 2300861540.000000 182.973000 0.000211597
88 2300861620.000000 183.088500 0.000211568
89 2300861700.000000 183.203000 0.000211657
90 2300861780.000000 183.321500 0.000211687
91 2300861860.000000 183.433000 0.000211895
92 2300861940.000000 183.550000 0.000211955
93 2300862020.000000 183.665000 0.000211895
94 2300862100.000000 183.780500 0.000211866
95 2300862180.000000 183.892500 0.000211717
96 2300862260.000000 184.009500 0.000211627
97 2300862340.000000 184.125500 0.000211568
98 2300862420.000000 184.240500 0.000211627
99 2300862500.000000 184.358500 0.000211836
100 2300862580.000000 184.470000 0.000211895
101 2300862660.000000 184.587000 0.000212044
102 2300862740.000000 184.701000 0.000212044
103 2300862820.000000 184.818000 0.000212044
104 2300862900.000000 184.930500 0.000211925
105 2300862980.000000 185.048000 0.000211866
106 2300863060.000000 185.163000 0.000211746
107 2300863140.000000 185.278000 0.000211836
108 2300863220.000000 185.392500 0.000211836
109 2300863300.000000 185.509500 0.000211985
110 2300863381.000000 185.623500 0.000212074
111 2300863460.000000 185.739000 0.000212164
112 2300863540.000000 185.856000 0.000212134
113 2300863620.000000 185.968500 0.000212015
114 2300863700.000000 186.084500 0.000212015
115 2300863780.000000 186.197000 0.000212044
116 2300863860.000000 186.316000 0.000212074
117 2300863940.000000 186.432000 0.000212223
118 2300864020.000000 186.550000 0.000212283
119 2300864100.000000 186.663500 0.000212521
120 2300864180.000000 186.782000 0.000212551
121 2300864260.000000 186.896000 0.000212491
122 2300864340.000000 187.010500 0.000212432
123 2300864420.000000 187.126500 0.000212342
124 2300864500.000000 187.240500 0.000212283
125 2300864580.000000 187.360500 0.000212193
