#  NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 X pol measurements of 18-01 15/40


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3163625860.000000 168.015000 0.000200392
1 3163625940.000000 168.169000 0.000200392
2 3163626020.000000 168.325500 0.000200273
3 3163626100.000000 168.480000 0.000200362
4 3163626180.000000 168.636000 0.000200392
5 3163626260.000000 168.793000 0.000200422
6 3163626340.000000 168.947000 0.000200511
7 3163626420.000000 169.100500 0.000200451
8 3163626500.000000 169.252000 0.000200451
9 3163626580.000000 169.408000 0.000200362
10 3163626660.000000 169.564500 0.000200332
11 3163626740.000000 169.717500 0.000200302
12 3163626820.000000 169.872500 0.000200273
13 3163626900.000000 170.027500 0.000200273
14 3163626981.000000 170.182000 0.000200332
15 3163627060.000000 170.338500 0.000200422
16 3163627140.000000 170.490500 0.000200392
17 3163627220.000000 170.645000 0.000200451
18 3163627300.000000 170.802500 0.000200392
19 3163627380.000000 170.954000 0.000200362
20 3163627460.000000 171.112000 0.000200273
21 3163627540.000000 171.270500 0.000200243
22 3163627620.000000 171.424500 0.000200213
23 3163627700.000000 171.583000 0.000200183
24 3163627780.000000 171.738000 0.000200213
25 3163627860.000000 171.894000 0.000200362
26 3163627940.000000 172.047000 0.000200392
27 3163628020.000000 172.204500 0.000200302
28 3163628100.000000 172.358500 0.000200243
29 3163628180.000000 172.513500 0.000200213
30 3163628260.000000 172.673000 0.000200302
31 3163628340.000000 172.828000 0.000200243
32 3163628420.000000 172.982000 0.000200273
33 3163628500.000000 173.139000 0.000200183
34 3163628580.000000 173.291500 0.000200183
35 3163628660.000000 173.446000 0.000200213
36 3163628740.000000 173.600500 0.000200243
37 3163628820.000000 173.752000 0.000200302
38 3163628900.000000 173.909500 0.000200153
39 3163628980.000000 174.065500 0.000200064
40 3163629060.000000 174.219000 0.000200064
41 3163629140.000000 174.375500 0.000200153
42 3163629220.000000 174.528500 0.000200183
43 3163629300.000000 174.684000 0.000200243
44 3163629380.000000 174.840500 0.000200213
45 3163629460.000000 174.995000 0.000200213
46 3163629540.000000 175.149500 0.000200183
47 3163629620.000000 175.303500 0.000200183
48 3163629700.000000 175.458000 0.000200153
49 3163629780.000000 175.615500 0.000200064
50 3163629860.000000 175.765500 0.000200034
51 3163629940.000000 175.923500 0.000200094
52 3163630020.000000 176.079000 0.000200183
53 3163630100.000000 176.238000 0.000200243
54 3163630180.000000 176.391000 0.000200183
55 3163630260.000000 176.542000 0.000200124
56 3163630340.000000 176.700500 0.000200094
57 3163630420.000000 176.857000 0.000200183
58 3163630500.000000 177.013500 0.000200094
59 3163630580.000000 177.166000 0.000200094
60 3163630660.000000 177.321000 0.000200064
61 3163630740.000000 177.481000 0.000200004
62 3163630820.000000 177.634500 0.000200034
63 3163630900.000000 177.790500 0.000200153
64 3163630980.000000 177.945500 0.000200094
65 3163631060.000000 178.097000 0.000200094
66 3163631140.000000 178.255500 0.000200094
67 3163631220.000000 178.406500 0.000200094
68 3163631300.000000 178.561000 0.000200034
69 3163631380.000000 178.717500 0.000200034
70 3163631460.000000 178.869500 0.000200004
71 3163631540.000000 179.027500 0.000200004
72 3163631620.000000 179.182500 0.000200004
73 3163631700.000000 179.336000 0.000200034
74 3163631780.000000 179.492500 0.000200094
75 3163631860.000000 179.646000 0.000200064
76 3163631940.000000 179.800000 0.000200004
77 3163632020.000000 179.957000 0.000200004
78 3163632100.000000 180.107500 0.000200004
79 3163632180.000000 180.266000 0.000200034
80 3163632260.000000 180.420500 0.000200004
81 3163632340.000000 180.576000 0.000199945
82 3163632420.000000 180.730000 0.000200004
83 3163632500.000000 180.884500 0.000200034
84 3163632580.000000 181.041000 0.000200034
85 3163632660.000000 181.195000 0.000200004
86 3163632740.000000 181.351500 0.000200004
87 3163632820.000000 181.509500 0.000199915
88 3163632900.000000 181.663000 0.000199945
89 3163632980.000000 181.821500 0.000199975
90 3163633060.000000 181.976500 0.000200004
91 3163633140.000000 182.132000 0.000199975
92 3163633220.000000 182.289500 0.000200034
93 3163633300.000000 182.439000 0.000200004
94 3163633380.000000 182.593500 0.000199915
95 3163633460.000000 182.749500 0.000199796
96 3163633540.000000 182.906500 0.000199706
97 3163633620.000000 183.062500 0.000199885
98 3163633700.000000 183.215500 0.000199885
99 3163633780.000000 183.374000 0.000199915
100 3163633860.000000 183.528500 0.000199885
101 3163633940.000000 183.680000 0.000199826
102 3163634020.000000 183.834500 0.000199826
103 3163634100.000000 183.991500 0.000199915
104 3163634180.000000 184.147500 0.000199796
105 3163634260.000000 184.300500 0.000199766
106 3163634340.000000 184.453500 0.000199736
107 3163634420.000000 184.609500 0.000199796
108 3163634500.000000 184.765000 0.000199885
109 3163634580.000000 184.919500 0.000199885
110 3163634660.000000 185.074000 0.000199915
111 3163634740.000000 185.229000 0.000199885
112 3163634820.000000 185.386500 0.000199766
113 3163634900.000000 185.541500 0.000199796
114 3163634980.000000 185.694000 0.000199706
115 3163635060.000000 185.851000 0.000199617
116 3163635140.000000 186.004000 0.000199676
117 3163635220.000000 186.159000 0.000199676
118 3163635300.000000 186.316500 0.000199796
119 3163635380.000000 186.469500 0.000199855
120 3163635460.000000 186.628000 0.000199885
121 3163635540.000000 186.785000 0.000199855
122 3163635620.000000 186.937500 0.000199766
123 3163635700.000000 187.096500 0.000199706
124 3163635780.000000 187.248500 0.000199587
125 3163635860.000000 187.406500 0.000199587
126 3163635940.000000 187.563000 0.000199587
127 3163636020.000000 187.715500 0.000199647
128 3163636100.000000 187.873500 0.000199796
129 3163636180.000000 188.027500 0.000199796
130 3163636260.000000 188.182500 0.000199826
131 3163636340.000000 188.338500 0.000199885
132 3163636420.000000 188.489000 0.000199766
133 3163636500.000000 188.646000 0.000199587
134 3163636580.000000 188.800500 0.000199468
135 3163636660.000000 188.955500 0.000199468
136 3163636740.000000 189.109500 0.000199468
137 3163636820.000000 189.266000 0.000199617
138 3163636900.000000 189.420500 0.000199736
139 3163636980.000000 189.576500 0.000199796
140 3163637060.000000 189.729500 0.000199885
141 3163637140.000000 189.885000 0.000199855
142 3163637220.000000 190.040500 0.000199736
143 3163637300.000000 190.194500 0.000199617
144 3163637380.000000 190.347000 0.000199498
145 3163637460.000000 190.501500 0.000199438
146 3163637540.000000 190.659000 0.000199438
147 3163637620.000000 190.813500 0.000199557
148 3163637700.000000 190.967500 0.000199676
149 3163637780.000000 191.123000 0.000199796
150 3163637860.000000 191.279000 0.000199855
151 3163637940.000000 191.437000 0.000199885
152 3163638020.000000 191.589500 0.000199766
153 3163638100.000000 191.743500 0.000199617
154 3163638180.000000 191.901500 0.000199557
155 3163638260.000000 192.058000 0.000199438
156 3163638340.000000 192.215000 0.000199408
157 3163638420.000000 192.369500 0.000199527
158 3163638500.000000 192.523000 0.000199527
159 3163638580.000000 192.678500 0.000199766
160 3163638660.000000 192.833500 0.000199766
161 3163638740.000000 192.988500 0.000199647
162 3163638820.000000 193.144500 0.000199676
163 3163638900.000000 193.302000 0.000199617
164 3163638980.000000 193.455500 0.000199498
165 3163639060.000000 193.611500 0.000199408
166 3163639140.000000 193.765000 0.000199468
167 3163639220.000000 193.920500 0.000199438
168 3163639300.000000 194.075000 0.000199557
169 3163639380.000000 194.231000 0.000199647
170 3163639460.000000 194.383500 0.000199617
171 3163639540.000000 194.540500 0.000199617
172 3163639620.000000 194.695000 0.000199498
173 3163639700.000000 194.850000 0.000199438
174 3163639780.000000 195.006500 0.000199408
175 3163639860.000000 195.160000 0.000199468
176 3163639940.000000 195.316500 0.000199527
177 3163640020.000000 195.470000 0.000199408
178 3163640100.000000 195.624500 0.000199498
179 3163640180.000000 195.781500 0.000199498
180 3163640260.000000 195.936000 0.000199527
181 3163640340.000000 196.091000 0.000199587
182 3163640420.000000 196.247000 0.000199498
183 3163640500.000000 196.399500 0.000199498
184 3163640580.000000 196.557000 0.000199498
185 3163640660.000000 196.712000 0.000199527
186 3163640740.000000 196.867000 0.000199557
187 3163640820.000000 197.023000 0.000199587
188 3163640900.000000 197.178500 0.000199498
189 3163640980.000000 197.336000 0.000199468
190 3163641060.000000 197.493500 0.000199378
191 3163641140.000000 197.642000 0.000199408
192 3163641220.000000 197.797500 0.000199408
193 3163641300.000000 197.952000 0.000199468
194 3163641380.000000 198.108500 0.000199498
195 3163641460.000000 198.266000 0.000199587
196 3163641540.000000 198.417500 0.000199647
197 3163641620.000000 198.576000 0.000199557
198 3163641700.000000 198.731000 0.000199498
199 3163641780.000000 198.883500 0.000199468
200 3163641860.000000 199.037000 0.000199259
201 3163641940.000000 199.193000 0.000199349
202 3163642020.000000 199.351000 0.000199319
203 3163642100.000000 199.505000 0.000199408
204 3163642180.000000 199.659500 0.000199468
205 3163642260.000000 199.816000 0.000199617
206 3163642340.000000 199.968000 0.000199647
207 3163642420.000000 200.124500 0.000199587
208 3163642500.000000 200.280500 0.000199587
209 3163642580.000000 200.432500 0.000199349
210 3163642660.000000 200.588500 0.000199259
211 3163642740.000000 200.743500 0.00019917
212 3163642820.000000 200.897000 0.00019917
213 3163642900.000000 201.054000 0.000199319
214 3163642980.000000 201.202000 0.000199527
215 3163643060.000000 201.363500 0.000199617
216 3163643140.000000 201.518000 0.000199557
217 3163643220.000000 201.675000 0.000199587
218 3163643300.000000 201.829000 0.000199438
219 3163643380.000000 201.985000 0.0001992
220 3163643460.000000 202.143000 0.000199051
221 3163643540.000000 202.296500 0.000198991
222 3163643620.000000 202.451000 0.000199021
223 3163643700.000000 202.609500 0.00019917
224 3163643780.000000 202.762500 0.000199438
225 3163643860.000000 202.920500 0.000199468
226 3163643940.000000 203.075500 0.000199557
227 3163644020.000000 203.228000 0.000199408
228 3163644100.000000 203.386000 0.000199259
229 3163644180.000000 203.541000 0.00019911
230 3163644260.000000 203.696000 0.000198902
231 3163644340.000000 203.851500 0.000198902
232 3163644420.000000 204.002500 0.000198842
233 3163644500.000000 204.160000 0.00019908
234 3163644580.000000 204.312500 0.000199259
235 3163644660.000000 204.468000 0.000199438
236 3163644740.000000 204.625000 0.000199468
237 3163644820.000000 204.779500 0.000199408
238 3163644900.000000 204.933000 0.000199259
239 3163644980.000000 205.085500 0.000198961
240 3163645060.000000 205.243000 0.000198872
241 3163645140.000000 205.399500 0.000198723
242 3163645220.000000 205.551500 0.000198782
243 3163645300.000000 205.706500 0.000198961
244 3163645380.000000 205.864000 0.00019917
245 3163645460.000000 206.015500 0.000199319
246 3163645540.000000 206.172000 0.000199319
247 3163645620.000000 206.327000 0.000199259
248 3163645700.000000 206.479000 0.0001992
249 3163645780.000000 206.637000 0.000198931
250 3163645860.000000 206.792000 0.000198753
251 3163645940.000000 206.949500 0.000198633
252 3163646020.000000 207.103000 0.000198812
253 3163646100.000000 207.260000 0.000198931
254 3163646180.000000 207.419000 0.000199051
255 3163646260.000000 207.570000 0.00019917
256 3163646340.000000 207.728500 0.0001992
257 3163646420.000000 207.880500 0.00019917
258 3163646500.000000 208.034500 0.00019908
259 3163646580.000000 208.193500 0.000198842
260 3163646660.000000 208.346500 0.000198663
261 3163646740.000000 208.502000 0.000198633
262 3163646820.000000 208.659500 0.000198782
