# NO  SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 X pol measurements of 18-01 15/40


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3167054980.000000 168.008500 0.000200213
1 3167055060.000000 168.162500 0.000200153
2 3167055140.000000 168.318500 0.000200094
3 3167055220.000000 168.474000 0.000200064
4 3167055300.000000 168.630500 0.000200183
5 3167055380.000000 168.786500 0.000200213
6 3167055460.000000 168.938500 0.000200243
7 3167055540.000000 169.096000 0.000200243
8 3167055620.000000 169.250000 0.000200213
9 3167055700.000000 169.402500 0.000200183
10 3167055780.000000 169.558500 0.000200094
11 3167055860.000000 169.712500 0.000200034
12 3167055940.000000 169.867000 0.000200034
13 3167056020.000000 170.021500 0.000200064
14 3167056100.000000 170.177000 0.000200094
15 3167056180.000000 170.331500 0.000200183
16 3167056260.000000 170.486000 0.000200213
17 3167056340.000000 170.642500 0.000200183
18 3167056420.000000 170.795500 0.000200183
19 3167056500.000000 170.950500 0.000200153
20 3167056580.000000 171.109500 0.000200153
21 3167056660.000000 171.264000 0.000200034
22 3167056740.000000 171.420500 0.000199975
23 3167056820.000000 171.579500 0.000200094
24 3167056900.000000 171.730500 0.000200094
25 3167056980.000000 171.889000 0.000200153
26 3167057060.000000 172.041500 0.000200064
27 3167057140.000000 172.196000 0.000200094
28 3167057220.000000 172.353000 0.000200004
29 3167057300.000000 172.506000 0.000200004
30 3167057380.000000 172.663500 0.000199945
31 3167057460.000000 172.819500 0.000199945
32 3167057540.000000 172.977000 0.000199975
33 3167057620.000000 173.131000 0.000199975
34 3167057700.000000 173.283000 0.000200034
35 3167057780.000000 173.441500 0.000200034
36 3167057860.000000 173.595000 0.000200064
37 3167057940.000000 173.750500 0.000200034
38 3167058020.000000 173.902500 0.000200034
39 3167058100.000000 174.055500 0.000200004
40 3167058180.000000 174.211500 0.000199915
41 3167058260.000000 174.368000 0.000199975
42 3167058340.000000 174.522500 0.000199975
43 3167058420.000000 174.676500 0.000199945
44 3167058500.000000 174.832500 0.000199945
45 3167058580.000000 174.987000 0.000199975
46 3167058660.000000 175.140500 0.000200004
47 3167058740.000000 175.295000 0.000200034
48 3167058820.000000 175.452000 0.000199915
49 3167058900.000000 175.608000 0.000199885
50 3167058980.000000 175.759500 0.000199796
51 3167059060.000000 175.917000 0.000199885
52 3167059140.000000 176.070000 0.000199915
53 3167059220.000000 176.226500 0.000199885
54 3167059300.000000 176.385500 0.000199885
55 3167059380.000000 176.537000 0.000199915
56 3167059460.000000 176.696000 0.000199945
57 3167059540.000000 176.852500 0.000199945
58 3167059620.000000 177.006500 0.000199975
59 3167059700.000000 177.164500 0.000199915
60 3167059780.000000 177.314500 0.000199826
61 3167059860.000000 177.473500 0.000199766
62 3167059940.000000 177.629500 0.000199915
63 3167060020.000000 177.783000 0.000199975
64 3167060100.000000 177.940000 0.000199915
65 3167060180.000000 178.093500 0.000199885
66 3167060260.000000 178.248000 0.000199885
67 3167060340.000000 178.402500 0.000199915
68 3167060420.000000 178.558000 0.000199885
69 3167060500.000000 178.711500 0.000199855
70 3167060580.000000 178.866000 0.000199885
71 3167060660.000000 179.025000 0.000199796
72 3167060740.000000 179.177500 0.000199796
73 3167060820.000000 179.332000 0.000199885
74 3167060900.000000 179.488500 0.000199945
75 3167060980.000000 179.639500 0.000199885
76 3167061060.000000 179.793000 0.000199766
77 3167061140.000000 179.948500 0.000199855
78 3167061220.000000 180.102500 0.000199826
79 3167061300.000000 180.262500 0.000199826
80 3167061380.000000 180.413000 0.000199855
81 3167061460.000000 180.568500 0.000199796
82 3167061540.000000 180.722500 0.000199766
83 3167061620.000000 180.877000 0.000199826
84 3167061700.000000 181.033000 0.000199826
85 3167061780.000000 181.186500 0.000199855
86 3167061860.000000 181.343500 0.000199736
87 3167061940.000000 181.501500 0.000199766
88 3167062020.000000 181.655500 0.000199736
89 3167062100.000000 181.812000 0.000199796
90 3167062180.000000 181.969000 0.000199736
91 3167062260.000000 182.122500 0.000199676
92 3167062340.000000 182.279000 0.000199647
93 3167062420.000000 182.435000 0.000199617
94 3167062500.000000 182.589000 0.000199557
95 3167062580.000000 182.745000 0.000199676
96 3167062660.000000 182.902000 0.000199676
97 3167062740.000000 183.057000 0.000199676
98 3167062820.000000 183.212000 0.000199766
99 3167062900.000000 183.368500 0.000199676
100 3167062980.000000 183.521000 0.000199706
101 3167063060.000000 183.675000 0.000199617
102 3167063140.000000 183.830000 0.000199557
103 3167063220.000000 183.984000 0.000199587
104 3167063300.000000 184.140000 0.000199527
105 3167063380.000000 184.294500 0.000199438
106 3167063460.000000 184.450500 0.000199498
107 3167063540.000000 184.606500 0.000199587
108 3167063620.000000 184.760000 0.000199617
109 3167063700.000000 184.915000 0.000199647
110 3167063780.000000 185.072500 0.000199676
111 3167063860.000000 185.224000 0.000199676
112 3167063940.000000 185.379000 0.000199647
113 3167064020.000000 185.536500 0.000199498
114 3167064100.000000 185.687000 0.000199408
115 3167064180.000000 185.844000 0.000199378
116 3167064260.000000 185.999500 0.000199349
117 3167064340.000000 186.153000 0.000199527
118 3167064420.000000 186.310500 0.000199617
119 3167064500.000000 186.466500 0.000199587
120 3167064580.000000 186.623000 0.000199647
121 3167064660.000000 186.776000 0.000199527
122 3167064740.000000 186.931000 0.000199468
123 3167064820.000000 187.089000 0.000199378
124 3167064900.000000 187.244000 0.000199289
125 3167064980.000000 187.402500 0.000199319
126 3167065060.000000 187.555000 0.000199259
127 3167065140.000000 187.708000 0.000199438
128 3167065220.000000 187.864500 0.000199527
129 3167065300.000000 188.020000 0.000199647
130 3167065380.000000 188.178500 0.000199617
131 3167065460.000000 188.331000 0.000199527
132 3167065540.000000 188.484000 0.000199527
133 3167065620.000000 188.639000 0.000199408
134 3167065700.000000 188.794500 0.000199319
135 3167065780.000000 188.948500 0.000199289
136 3167065860.000000 189.102000 0.0001992
137 3167065940.000000 189.258500 0.000199259
138 3167066020.000000 189.412500 0.000199468
139 3167066100.000000 189.569000 0.000199527
140 3167066180.000000 189.724000 0.000199617
141 3167066260.000000 189.879000 0.000199647
142 3167066340.000000 190.031000 0.000199468
143 3167066420.000000 190.188000 0.000199349
144 3167066500.000000 190.342500 0.000199229
145 3167066580.000000 190.496000 0.00019914
146 3167066660.000000 190.653500 0.000199259
147 3167066740.000000 190.808000 0.000199259
148 3167066820.000000 190.962000 0.000199259
149 3167066900.000000 191.118500 0.000199468
150 3167066980.000000 191.271500 0.000199408
151 3167067060.000000 191.426500 0.000199468
152 3167067140.000000 191.585500 0.000199319
153 3167067220.000000 191.739000 0.000199319
154 3167067300.000000 191.898000 0.000199259
155 3167067380.000000 192.050000 0.000199229
156 3167067460.000000 192.209000 0.000199229
157 3167067540.000000 192.365000 0.000199289
158 3167067620.000000 192.519000 0.000199259
159 3167067700.000000 192.674500 0.000199349
160 3167067780.000000 192.830000 0.000199319
161 3167067860.000000 192.984500 0.000199349
162 3167067940.000000 193.141000 0.000199319
163 3167068020.000000 193.297000 0.000199259
164 3167068100.000000 193.450500 0.000199229
165 3167068180.000000 193.605500 0.00019917
166 3167068260.000000 193.762500 0.00019908
167 3167068340.000000 193.915000 0.00019917
168 3167068420.000000 194.070000 0.000199289
169 3167068500.000000 194.224000 0.000199229
170 3167068580.000000 194.379500 0.000199259
171 3167068660.000000 194.536000 0.000199259
172 3167068740.000000 194.689500 0.000199229
173 3167068820.000000 194.845500 0.000199259
174 3167068900.000000 194.998000 0.000199259
175 3167068980.000000 195.153500 0.00019917
176 3167069060.000000 195.307500 0.00019917
177 3167069140.000000 195.465000 0.0001992
178 3167069220.000000 195.619000 0.000199289
179 3167069300.000000 195.777500 0.000199259
180 3167069380.000000 195.932000 0.000199229
181 3167069460.000000 196.085500 0.0001992
182 3167069540.000000 196.238500 0.00019917
183 3167069620.000000 196.394000 0.000199319
184 3167069700.000000 196.547500 0.000199259
185 3167069780.000000 196.706500 0.00019917
186 3167069860.000000 196.858500 0.000199319
187 3167069940.000000 197.016500 0.000199259
188 3167070020.000000 197.173500 0.000199229
189 3167070100.000000 197.329500 0.0001992
190 3167070180.000000 197.483500 0.00019911
191 3167070260.000000 197.637500 0.00019908
192 3167070340.000000 197.793000 0.00019911
193 3167070420.000000 197.948000 0.00019911
194 3167070500.000000 198.104000 0.000199259
195 3167070580.000000 198.259500 0.000199289
196 3167070660.000000 198.414500 0.000199349
197 3167070740.000000 198.573000 0.000199319
198 3167070820.000000 198.726500 0.0001992
199 3167070900.000000 198.878500 0.00019908
200 3167070980.000000 199.035000 0.000199021
201 3167071060.000000 199.189500 0.000198931
202 3167071140.000000 199.343500 0.000198961
203 3167071220.000000 199.500000 0.000199051
204 3167071300.000000 199.653000 0.000199229
205 3167071380.000000 199.810500 0.000199319
206 3167071460.000000 199.964500 0.000199319
207 3167071540.000000 200.119500 0.000199289
208 3167071620.000000 200.275000 0.00019917
209 3167071700.000000 200.429000 0.000198931
210 3167071780.000000 200.583000 0.000198872
211 3167071860.000000 200.738000 0.000198663
212 3167071940.000000 200.895000 0.000198842
213 3167072020.000000 201.048000 0.000198961
214 3167072100.000000 201.202500 0.00019911
215 3167072180.000000 201.355500 0.000199349
216 3167072260.000000 201.511500 0.000199349
217 3167072340.000000 201.668000 0.000199349
218 3167072420.000000 201.825000 0.00019917
219 3167072500.000000 201.977500 0.000198931
