# NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample. Y pol measurements of 18-01 15/40

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3159844220.000000 168.027000 0.000200541
1 3159844300.000000 168.172000 0.000200332
2 3159844380.000000 168.328000 0.000200362
3 3159844460.000000 168.482500 0.000200362
4 3159844540.000000 168.636500 0.000200451
5 3159844620.000000 168.792500 0.000200481
6 3159844700.000000 168.946000 0.000200541
7 3159844780.000000 169.100000 0.0002006
8 3159844860.000000 169.255000 0.000200571
9 3159844940.000000 169.410500 0.000200541
10 3159845020.000000 169.565000 0.000200451
11 3159845100.000000 169.718500 0.000200332
12 3159845180.000000 169.875500 0.000200362
13 3159845260.000000 170.028000 0.000200332
14 3159845340.000000 170.181500 0.000200392
15 3159845420.000000 170.339500 0.000200422
16 3159845500.000000 170.491000 0.000200451
17 3159845580.000000 170.647000 0.000200481
18 3159845660.000000 170.804000 0.000200481
19 3159845740.000000 170.956000 0.000200451
20 3159845820.000000 171.114000 0.000200362
21 3159845900.000000 171.271000 0.000200273
22 3159845980.000000 171.426000 0.000200302
23 3159846060.000000 171.584500 0.000200332
24 3159846140.000000 171.739000 0.000200302
25 3159846220.000000 171.894500 0.000200362
26 3159846300.000000 172.050500 0.000200422
27 3159846380.000000 172.203500 0.000200362
28 3159846460.000000 172.360000 0.000200302
29 3159846540.000000 172.516000 0.000200362
30 3159846620.000000 172.671000 0.000200273
31 3159846700.000000 172.827500 0.000200213
32 3159846780.000000 172.983000 0.000200243
33 3159846860.000000 173.137000 0.000200243
34 3159846940.000000 173.291500 0.000200302
35 3159847020.000000 173.447500 0.000200332
36 3159847100.000000 173.602000 0.000200362
37 3159847180.000000 173.753000 0.000200392
38 3159847260.000000 173.912000 0.000200332
39 3159847340.000000 174.068500 0.000200183
40 3159847420.000000 174.221000 0.000200332
41 3159847500.000000 174.376000 0.000200362
42 3159847580.000000 174.528000 0.000200302
43 3159847660.000000 174.686000 0.000200302
44 3159847740.000000 174.839000 0.000200362
45 3159847820.000000 174.991500 0.000200302
46 3159847900.000000 175.149000 0.000200332
47 3159847980.000000 175.301000 0.000200302
48 3159848060.000000 175.457500 0.000200243
49 3159848140.000000 175.614000 0.000200183
50 3159848220.000000 175.764500 0.000200213
51 3159848300.000000 175.923000 0.000200183
52 3159848380.000000 176.079500 0.000200302
53 3159848460.000000 176.233000 0.000200302
54 3159848540.000000 176.390500 0.000200243
55 3159848620.000000 176.545000 0.000200243
56 3159848700.000000 176.701500 0.000200302
57 3159848780.000000 176.857500 0.000200243
58 3159848860.000000 177.014500 0.000200213
59 3159848940.000000 177.168000 0.000200183
60 3159849020.000000 177.321500 0.000200094
61 3159849100.000000 177.480500 0.000200153
62 3159849180.000000 177.633500 0.000200183
63 3159849260.000000 177.789500 0.000200153
64 3159849340.000000 177.947000 0.000200213
65 3159849420.000000 178.098500 0.000200153
66 3159849500.000000 178.257000 0.000200094
67 3159849580.000000 178.407500 0.000200094
68 3159849660.000000 178.562000 0.000200183
69 3159849740.000000 178.719500 0.000200153
70 3159849820.000000 178.871500 0.000200064
71 3159849900.000000 179.029000 0.000200153
72 3159849980.000000 179.184500 0.000200183
73 3159850060.000000 179.339000 0.000200094
74 3159850140.000000 179.493500 0.000200183
75 3159850220.000000 179.647000 0.000200153
76 3159850300.000000 179.802000 0.000200034
77 3159850380.000000 179.958500 0.000200094
78 3159850460.000000 180.113500 0.000200064
79 3159850540.000000 180.267500 0.000200064
80 3159850620.000000 180.420000 0.000200094
81 3159850700.000000 180.573000 0.000200034
82 3159850780.000000 180.731000 0.000200034
83 3159850860.000000 180.884000 0.000200094
84 3159850940.000000 181.039000 0.000200094
85 3159851020.000000 181.194000 0.000200034
86 3159851100.000000 181.351000 0.000200004
87 3159851180.000000 181.510000 0.000200004
88 3159851260.000000 181.662000 0.000199945
89 3159851340.000000 181.820000 0.000200064
90 3159851420.000000 181.975000 0.000200064
91 3159851500.000000 182.129000 0.000199975
92 3159851580.000000 182.286500 0.000199945
93 3159851660.000000 182.438500 0.000199885
94 3159851740.000000 182.596500 0.000199915
95 3159851820.000000 182.752500 0.000199885
96 3159851900.000000 182.905000 0.000199885
97 3159851980.000000 183.064000 0.000199826
98 3159852060.000000 183.220000 0.000199885
99 3159852140.000000 183.374000 0.000199975
100 3159852220.000000 183.530000 0.000200004
101 3159852300.000000 183.680000 0.000200034
102 3159852380.000000 183.837000 0.000199945
103 3159852460.000000 183.991500 0.000199885
104 3159852540.000000 184.145000 0.000199796
105 3159852620.000000 184.302500 0.000199736
106 3159852700.000000 184.458000 0.000199736
107 3159852780.000000 184.612000 0.000199766
108 3159852860.000000 184.768000 0.000199855
109 3159852940.000000 184.920000 0.000199945
