#  SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 Y pol measurements of 18-01 15/40

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3162556060.000000 168.010000 0.000193954
1 3162556140.000000 168.163500 0.000193895
2 3162556220.000000 168.320000 0.000193805
3 3162556300.000000 168.474500 0.000193895
4 3162556380.000000 168.630500 0.000193895
5 3162556460.000000 168.787500 0.000194014
6 3162556540.000000 168.937500 0.000194014
7 3162556620.000000 169.094000 0.000194044
8 3162556700.000000 169.248500 0.000194014
9 3162556780.000000 169.405500 0.000193895
10 3162556860.000000 169.558000 0.000193895
11 3162556940.000000 169.713000 0.000193835
12 3162557020.000000 169.866500 0.000193865
13 3162557100.000000 170.020000 0.000193805
14 3162557180.000000 170.175500 0.000193954
15 3162557260.000000 170.333000 0.000193984
16 3162557340.000000 170.485000 0.000194014
17 3162557420.000000 170.640000 0.000193954
18 3162557500.000000 170.797500 0.000193895
19 3162557580.000000 170.951500 0.000193865
20 3162557660.000000 171.106000 0.000193865
21 3162557740.000000 171.260500 0.000193865
22 3162557820.000000 171.417500 0.000193835
23 3162557900.000000 171.577000 0.000193835
24 3162557980.000000 171.730500 0.000193835
25 3162558060.000000 171.887000 0.000193865
26 3162558140.000000 172.041000 0.000193865
27 3162558220.000000 172.195500 0.000193895
28 3162558300.000000 172.350500 0.000193805
29 3162558380.000000 172.507000 0.000193776
30 3162558460.000000 172.661500 0.000193716
31 3162558540.000000 172.818000 0.000193776
32 3162558620.000000 172.975500 0.000193835
33 3162558700.000000 173.128000 0.000193835
34 3162558780.000000 173.282500 0.000193805
35 3162558860.000000 173.439000 0.000193835
36 3162558940.000000 173.594000 0.000193776
37 3162559020.000000 173.746000 0.000193746
38 3162559100.000000 173.903000 0.000193776
39 3162559180.000000 174.059000 0.000193716
40 3162559260.000000 174.213500 0.000193686
41 3162559340.000000 174.368000 0.000193716
42 3162559420.000000 174.523500 0.000193746
43 3162559500.000000 174.677500 0.000193716
44 3162559580.000000 174.833000 0.000193776
45 3162559660.000000 174.988000 0.000193776
46 3162559740.000000 175.142500 0.000193716
47 3162559820.000000 175.297000 0.000193627
48 3162559900.000000 175.453000 0.000193656
49 3162559980.000000 175.607500 0.000193567
50 3162560060.000000 175.761500 0.000193627
51 3162560140.000000 175.918000 0.000193537
52 3162560220.000000 176.072500 0.000193686
53 3162560300.000000 176.230000 0.000193686
54 3162560380.000000 176.384500 0.000193686
55 3162560460.000000 176.537500 0.000193686
56 3162560540.000000 176.693000 0.000193686
57 3162560620.000000 176.849000 0.000193716
58 3162560700.000000 177.006000 0.000193627
59 3162560780.000000 177.161000 0.000193537
60 3162560860.000000 177.312500 0.000193537
61 3162560940.000000 177.472500 0.000193567
62 3162561020.000000 177.628000 0.000193627
63 3162561100.000000 177.783500 0.000193656
64 3162561180.000000 177.938500 0.000193597
65 3162561260.000000 178.092500 0.000193567
66 3162561340.000000 178.251000 0.000193507
67 3162561420.000000 178.403000 0.000193567
68 3162561500.000000 178.555500 0.000193537
69 3162561580.000000 178.709500 0.000193448
70 3162561660.000000 178.864500 0.000193478
71 3162561740.000000 179.022000 0.000193507
72 3162561820.000000 179.174500 0.000193567
73 3162561900.000000 179.329000 0.000193597
74 3162561980.000000 179.488000 0.000193597
75 3162562060.000000 179.638500 0.000193448
76 3162562140.000000 179.794500 0.000193478
77 3162562220.000000 179.950500 0.000193478
78 3162562300.000000 180.100500 0.000193478
79 3162562380.000000 180.258000 0.000193448
80 3162562460.000000 180.413500 0.000193448
81 3162562540.000000 180.566000 0.000193448
82 3162562620.000000 180.722500 0.000193448
83 3162562700.000000 180.877500 0.000193537
84 3162562780.000000 181.031500 0.000193567
85 3162562860.000000 181.188000 0.000193448
86 3162562940.000000 181.344500 0.000193448
87 3162563020.000000 181.499500 0.000193418
88 3162563100.000000 181.655500 0.000193388
89 3162563180.000000 181.815000 0.000193448
90 3162563260.000000 181.969000 0.000193448
91 3162563340.000000 182.126000 0.000193507
92 3162563420.000000 182.280000 0.000193507
93 3162563500.000000 182.434000 0.000193388
94 3162563580.000000 182.590000 0.000193388
95 3162563660.000000 182.745500 0.000193329
96 3162563740.000000 182.900500 0.000193269
97 3162563820.000000 183.058000 0.000193299
98 3162563900.000000 183.213000 0.000193329
99 3162563980.000000 183.367000 0.000193329
100 3162564060.000000 183.523500 0.000193448
101 3162564140.000000 183.675000 0.000193388
102 3162564220.000000 183.829500 0.000193329
103 3162564300.000000 183.982000 0.000193269
104 3162564380.000000 184.139000 0.000193239
105 3162564460.000000 184.296000 0.00019318
106 3162564540.000000 184.449500 0.000193209
107 3162564620.000000 184.604500 0.00019318
108 3162564700.000000 184.760500 0.000193239
109 3162564780.000000 184.915000 0.000193329
110 3162564860.000000 185.069000 0.000193329
111 3162564940.000000 185.224000 0.000193388
112 3162565020.000000 185.377500 0.000193299
113 3162565100.000000 185.534000 0.000193209
114 3162565180.000000 185.688500 0.00019306
115 3162565260.000000 185.842000 0.00019312
116 3162565340.000000 185.997500 0.00019318
117 3162565420.000000 186.152500 0.00019312
118 3162565500.000000 186.308500 0.000193209
119 3162565580.000000 186.464500 0.000193269
120 3162565660.000000 186.621000 0.000193299
121 3162565740.000000 186.777500 0.000193299
122 3162565820.000000 186.932500 0.000193239
123 3162565900.000000 187.087500 0.00019306
124 3162565980.000000 187.243500 0.000193001
125 3162566060.000000 187.398500 0.000193001
126 3162566140.000000 187.553500 0.000193001
127 3162566220.000000 187.709500 0.000193001
128 3162566300.000000 187.864000 0.00019318
129 3162566380.000000 188.019500 0.000193239
130 3162566460.000000 188.177000 0.000193209
131 3162566540.000000 188.329500 0.000193269
132 3162566620.000000 188.483500 0.00019318
133 3162566700.000000 188.641000 0.00019312
134 3162566780.000000 188.791500 0.000192971
135 3162566860.000000 188.947500 0.000192882
136 3162566940.000000 189.104500 0.000192911
137 3162567020.000000 189.258000 0.000193001
138 3162567100.000000 189.415500 0.00019312
139 3162567180.000000 189.571000 0.000193269
140 3162567260.000000 189.725000 0.000193269
141 3162567340.000000 189.880000 0.00019318
142 3162567420.000000 190.034000 0.00019318
143 3162567500.000000 190.188000 0.00019306
144 3162567580.000000 190.343500 0.000192911
145 3162567660.000000 190.496500 0.000192911
146 3162567740.000000 190.653000 0.000192911
147 3162567820.000000 190.806500 0.000192971
148 3162567900.000000 190.962500 0.00019306
149 3162567980.000000 191.115500 0.00019315
150 3162568060.000000 191.271000 0.000193329
151 3162568140.000000 191.427500 0.000193209
152 3162568220.000000 191.586000 0.000193239
153 3162568300.000000 191.738500 0.000193031
154 3162568380.000000 191.893000 0.000192882
155 3162568460.000000 192.049000 0.000192911
156 3162568540.000000 192.208000 0.000192882
157 3162568620.000000 192.361500 0.000192971
158 3162568700.000000 192.516000 0.00019306
159 3162568780.000000 192.672500 0.00019315
160 3162568860.000000 192.828000 0.00019312
161 3162568940.000000 192.984000 0.00019315
162 3162569020.000000 193.139000 0.00019306
163 3162569100.000000 193.296500 0.000192971
164 3162569180.000000 193.449500 0.000192882
165 3162569260.000000 193.605000 0.000192882
166 3162569340.000000 193.760500 0.000192882
167 3162569420.000000 193.913500 0.000192971
168 3162569500.000000 194.068000 0.00019306
169 3162569580.000000 194.224500 0.00019306
170 3162569660.000000 194.377500 0.00019306
171 3162569740.000000 194.534000 0.000193001
172 3162569820.000000 194.688000 0.000193001
173 3162569900.000000 194.843000 0.000193001
174 3162569980.000000 194.999500 0.000192941
175 3162570060.000000 195.152500 0.000192911
176 3162570140.000000 195.309000 0.000192911
177 3162570220.000000 195.465500 0.000193001
178 3162570300.000000 195.617500 0.000193001
179 3162570380.000000 195.775500 0.000193001
180 3162570460.000000 195.931500 0.000192911
181 3162570540.000000 196.083000 0.000192971
