#  NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 Y pol measurements of 18-01 15/40

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3163066300.000000 168.011000 0.000200332
1 3163066380.000000 168.163500 0.000200213
2 3163066460.000000 168.313500 0.000200213
3 3163066540.000000 168.467500 0.000200213
4 3163066620.000000 168.624500 0.000200273
5 3163066700.000000 168.776500 0.000200302
6 3163066780.000000 168.930000 0.000200302
7 3163066860.000000 169.083500 0.000200362
8 3163066940.000000 169.239000 0.000200332
9 3163067020.000000 169.395000 0.000200243
10 3163067100.000000 169.549500 0.000200302
11 3163067180.000000 169.701000 0.000200183
12 3163067260.000000 169.858500 0.000200124
13 3163067340.000000 170.013500 0.000200183
14 3163067420.000000 170.166000 0.000200183
15 3163067500.000000 170.322000 0.000200273
16 3163067580.000000 170.473000 0.000200332
17 3163067660.000000 170.630000 0.000200273
18 3163067740.000000 170.785000 0.000200302
19 3163067820.000000 170.941000 0.000200243
20 3163067900.000000 171.096000 0.000200183
21 3163067980.000000 171.254000 0.000200153
22 3163068060.000000 171.411000 0.000200153
23 3163068140.000000 171.566500 0.000200153
24 3163068220.000000 171.722000 0.000200094
25 3163068300.000000 171.880000 0.000200183
26 3163068380.000000 172.032000 0.000200213
27 3163068460.000000 172.189000 0.000200213
28 3163068540.000000 172.345000 0.000200213
29 3163068620.000000 172.498000 0.000200213
30 3163068700.000000 172.657500 0.000200183
31 3163068780.000000 172.812000 0.000200183
32 3163068860.000000 172.966500 0.000200183
33 3163068940.000000 173.122500 0.000200213
34 3163069020.000000 173.274500 0.000200153
35 3163069100.000000 173.431000 0.000200124
36 3163069180.000000 173.585000 0.000200153
37 3163069260.000000 173.740500 0.000200153
38 3163069340.000000 173.895000 0.000200094
39 3163069420.000000 174.051000 0.000200064
40 3163069500.000000 174.204000 0.000200034
41 3163069580.000000 174.360000 0.000200064
42 3163069660.000000 174.515500 0.000200064
43 3163069740.000000 174.669000 0.000200124
44 3163069820.000000 174.824000 0.000200094
45 3163069900.000000 174.977500 0.000200153
46 3163069980.000000 175.134000 0.000200094
47 3163070060.000000 175.287500 0.000200094
48 3163070140.000000 175.446000 0.000200064
49 3163070220.000000 175.599000 0.000199945
50 3163070300.000000 175.753500 0.000200004
51 3163070380.000000 175.912000 0.000200034
52 3163070460.000000 176.065500 0.000200064
53 3163070540.000000 176.219500 0.000200094
54 3163070620.000000 176.374500 0.000200034
55 3163070700.000000 176.531000 0.000200064
56 3163070780.000000 176.689000 0.000200064
57 3163070860.000000 176.842000 0.000200064
58 3163070940.000000 176.998500 0.000199915
59 3163071020.000000 177.153500 0.000199885
60 3163071100.000000 177.306500 0.000199915
61 3163071180.000000 177.464000 0.000199975
62 3163071260.000000 177.615500 0.000199945
63 3163071340.000000 177.774000 0.000200004
64 3163071420.000000 177.930500 0.000200004
65 3163071500.000000 178.083500 0.000199915
66 3163071580.000000 178.239000 0.000199945
67 3163071660.000000 178.394500 0.000199915
68 3163071740.000000 178.548000 0.000199945
69 3163071820.000000 178.701000 0.000199885
70 3163071900.000000 178.857500 0.000199885
71 3163071980.000000 179.011000 0.000199885
72 3163072060.000000 179.167000 0.000199945
73 3163072140.000000 179.322500 0.000199915
74 3163072220.000000 179.476500 0.000199975
75 3163072300.000000 179.630000 0.000199945
76 3163072380.000000 179.787000 0.000199885
77 3163072460.000000 179.941000 0.000199915
78 3163072540.000000 180.095000 0.000200004
79 3163072620.000000 180.252000 0.000199945
80 3163072700.000000 180.403500 0.000199915
81 3163072780.000000 180.559000 0.000199796
82 3163072860.000000 180.716500 0.000199826
83 3163072940.000000 180.867000 0.000199915
84 3163073020.000000 181.023500 0.000199945
85 3163073100.000000 181.181500 0.000199855
86 3163073180.000000 181.335500 0.000199826
87 3163073260.000000 181.493500 0.000199826
88 3163073340.000000 181.648000 0.000199855
89 3163073420.000000 181.804000 0.000199945
90 3163073500.000000 181.962500 0.000200004
91 3163073580.000000 182.118000 0.000199885
92 3163073660.000000 182.270500 0.000199855
93 3163073740.000000 182.422500 0.000199885
94 3163073820.000000 182.580500 0.000199796
95 3163073900.000000 182.737500 0.000199706
96 3163073980.000000 182.892500 0.000199706
97 3163074060.000000 183.047500 0.000199676
98 3163074140.000000 183.202500 0.000199736
99 3163074220.000000 183.360500 0.000199826
100 3163074300.000000 183.514000 0.000199826
101 3163074380.000000 183.666000 0.000199796
102 3163074460.000000 183.819500 0.000199706
103 3163074540.000000 183.975000 0.000199647
104 3163074620.000000 184.131000 0.000199647
105 3163074700.000000 184.285000 0.000199647
106 3163074780.000000 184.440000 0.000199647
107 3163074860.000000 184.597500 0.000199617
