# NO SAMPLE -ONE ARM SCANS
6

FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2369081640.000000 207.988500 0.00012219
1 2369081720.000000 208.100500 0.000122161
2 2369081800.000000 208.217500 0.00012219
3 2369081880.000000 208.330500 0.00012222
4 2369081960.000000 208.448000 0.00012231
5 2369082040.000000 208.560000 0.00012228
6 2369082120.000000 208.678000 0.000122339
7 2369082200.000000 208.792500 0.00012222
8 2369082280.000000 208.909500 0.000122161
9 2369082360.000000 209.021500 0.00012222
10 2369082440.000000 209.137500 0.000122131
11 2369082520.000000 209.252500 0.000122101
12 2369082600.000000 209.366000 0.000122101
13 2369082680.000000 209.481500 0.000122161
14 2369082760.000000 209.596000 0.000122101
15 2369082840.000000 209.711500 0.000122161
16 2369082920.000000 209.825500 0.000122131
17 2369083000.000000 209.943500 0.000122071
18 2369083080.000000 210.057000 0.000122101
19 2369083160.000000 210.172500 0.000122101
20 2369083240.000000 210.289000 0.000121922
21 2369083320.000000 210.405500 0.000122041
22 2369083400.000000 210.518000 0.000121981
23 2369083480.000000 210.630500 0.000122041
24 2369083560.000000 210.748000 0.000122101
25 2369083640.000000 210.862000 0.000122011
26 2369083720.000000 210.979000 0.000121952
27 2369083800.000000 211.093500 0.000121952
