# NO SAMPLE -ONE ARM SCANS
6
SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2375238960.000000 207.911500 0.00020066
1 2375239040.000000 208.015500 0.000200451
2 2375239120.000000 208.131000 0.000200332
3 2375239200.000000 208.246500 0.000200392
4 2375239280.000000 208.358500 0.000200571
5 2375239360.000000 208.476000 0.000200988
6 2375239440.000000 208.587500 0.000201107
7 2375239520.000000 208.706500 0.000201256
8 2375239600.000000 208.820000 0.000201047
9 2375239680.000000 208.935000 0.000200749
10 2375239760.000000 209.048000 0.000200451
11 2375239840.000000 209.165500 0.000200153
12 2375239920.000000 209.279000 0.000200213
13 2375240000.000000 209.397000 0.000200392
14 2375240080.000000 209.509500 0.00020063
15 2375240160.000000 209.625000 0.000200898
16 2375240240.000000 209.741000 0.000200988
17 2375240320.000000 209.856500 0.000200988
18 2375240400.000000 209.971000 0.00020072
19 2375240480.000000 210.084500 0.000200392
20 2375240560.000000 210.201500 0.000200183
21 2375240640.000000 210.316500 0.000200064
22 2375240720.000000 210.431000 0.000200183
23 2375240800.000000 210.545000 0.000200392
24 2375240880.000000 210.663000 0.000200779
25 2375240960.000000 210.779000 0.000200928
26 2375241040.000000 210.892000 0.000200869
27 2375241120.000000 211.008500 0.000200749
