# SAMPLE
FTS 150 GHz source and diode detecyot


# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1199960341.000000 177.926000 0.000216157
1 1199960440.000000 178.037000 0.000216276
2 1199960520.000000 178.146500 0.000216425
3 1199960600.000000 178.263500 0.000216485
4 1199960680.000000 178.376500 0.000216425
5 1199960760.000000 178.494000 0.000216306
6 1199960840.000000 178.602500 0.000216217
7 1199960920.000000 178.717000 0.000216038
8 1199961000.000000 178.834000 0.000216127
9 1199961080.000000 178.950500 0.000216127
10 1199961160.000000 179.063500 0.000216396
11 1199961240.000000 179.179500 0.000216515
12 1199961320.000000 179.294500 0.000216545
13 1199961400.000000 179.411500 0.000216574
14 1199961480.000000 179.525000 0.000216515
15 1199961560.000000 179.638500 0.000216396
16 1199961640.000000 179.753500 0.000216366
17 1199961720.000000 179.868500 0.000216217
18 1199961800.000000 179.985500 0.000216098
19 1199961880.000000 180.097000 0.000216157
20 1199961960.000000 180.215500 0.000216306
21 1199962040.000000 180.330500 0.000216396
22 1199962120.000000 180.446000 0.000216425
23 1199962200.000000 180.559500 0.000216336
24 1199962280.000000 180.678000 0.000216336
25 1199962360.000000 180.790000 0.000216157
26 1199962440.000000 180.906000 0.000216098
27 1199962520.000000 181.023000 0.000215978
28 1199962600.000000 181.138500 0.000216127
29 1199962680.000000 181.254500 0.000216306
30 1199962760.000000 181.370500 0.000216396
31 1199962840.000000 181.489000 0.000216485
32 1199962920.000000 181.602500 0.000216366
33 1199963000.000000 181.721500 0.000216247
34 1199963080.000000 181.838000 0.000216157
35 1199963160.000000 181.953000 0.000216008
36 1199963240.000000 182.070500 0.000215978
37 1199963320.000000 182.184000 0.000216008
38 1199963400.000000 182.301500 0.000216098
39 1199963480.000000 182.416000 0.000216306
40 1199963560.000000 182.533000 0.000216336
41 1199963640.000000 182.645500 0.000216366
42 1199963720.000000 182.764000 0.000216276
43 1199963800.000000 182.881000 0.000216127
