# NO SAMPLE
FTS 150 GHz source and diode detecyot

polysulfone sample 1, McMaster, nom. 1/2" thick, mode B
sanded flat, 180 and 320


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1636573380.000000 172.996500 0.000207783
1 1636573480.000000 173.111500 0.000207693
2 1636573560.000000 173.228000 0.000207664
3 1636573640.000000 173.343500 0.000207604
4 1636573720.000000 173.459000 0.000207485
5 1636573800.000000 173.570500 0.000207664
6 1636573880.000000 173.685500 0.000207783
7 1636573960.000000 173.800500 0.000207872
8 1636574040.000000 173.916500 0.000207962
9 1636574120.000000 174.030500 0.000207962
10 1636574200.000000 174.146000 0.000207962
11 1636574280.000000 174.260000 0.000207783
12 1636574360.000000 174.375500 0.000207634
13 1636574440.000000 174.489000 0.000207604
14 1636574520.000000 174.604000 0.000207574
15 1636574600.000000 174.720500 0.000207723
16 1636574680.000000 174.836500 0.000207813
17 1636574760.000000 174.950000 0.000207962
18 1636574840.000000 175.063000 0.000207962
19 1636574920.000000 175.179000 0.000207872
20 1636575000.000000 175.294500 0.000207813
21 1636575080.000000 175.412000 0.000207634
22 1636575160.000000 175.525000 0.000207604
23 1636575240.000000 175.641500 0.000207634
24 1636575320.000000 175.757500 0.000207634
25 1636575400.000000 175.873000 0.000207932
26 1636575480.000000 175.986000 0.000207991
27 1636575560.000000 176.102500 0.000208081
28 1636575640.000000 176.219500 0.000207991
29 1636575720.000000 176.332500 0.000207842
30 1636575800.000000 176.451500 0.000207664
31 1636575880.000000 176.566000 0.000207574
32 1636575960.000000 176.683000 0.000207485
33 1636576040.000000 176.798000 0.000207604
34 1636576120.000000 176.916000 0.000207753
35 1636576200.000000 177.030000 0.000207813
36 1636576280.000000 177.144500 0.000207813
37 1636576360.000000 177.263000 0.000207902
38 1636576440.000000 177.375000 0.000207753
39 1636576520.000000 177.494000 0.000207693
40 1636576600.000000 177.607500 0.000207455
41 1636576680.000000 177.726500 0.000207395
42 1636576760.000000 177.838000 0.000207515
43 1636576840.000000 177.956500 0.000207604
44 1636576920.000000 178.069000 0.000207813
45 1636577000.000000 178.184500 0.000207842
46 1636577080.000000 178.300000 0.000207962
47 1636577160.000000 178.415000 0.000207813
48 1636577240.000000 178.529000 0.000207604
49 1636577320.000000 178.643500 0.000207515
50 1636577400.000000 178.757500 0.000207544
51 1636577480.000000 178.872500 0.000207544
52 1636577560.000000 178.990500 0.000207604
53 1636577640.000000 179.104500 0.000207753
54 1636577720.000000 179.220500 0.000207932
55 1636577800.000000 179.335500 0.000207902
56 1636577880.000000 179.453000 0.000207962
57 1636577960.000000 179.565000 0.000207753
58 1636578040.000000 179.681000 0.000207604
59 1636578120.000000 179.796500 0.000207425
60 1636578200.000000 179.909000 0.000207455
61 1636578280.000000 180.024000 0.000207485
62 1636578360.000000 180.138000 0.000207693
63 1636578440.000000 180.256000 0.000207813
64 1636578520.000000 180.369000 0.000207842
65 1636578600.000000 180.484000 0.000207872
66 1636578680.000000 180.599000 0.000207842
67 1636578760.000000 180.717000 0.000207693
68 1636578840.000000 180.830500 0.000207604
69 1636578920.000000 180.944500 0.000207574
70 1636579000.000000 181.059500 0.000207604
71 1636579080.000000 181.177000 0.000207783
72 1636579160.000000 181.294000 0.000207872
73 1636579240.000000 181.407000 0.000208051
74 1636579320.000000 181.525000 0.000207962
75 1636579400.000000 181.640500 0.000207813
76 1636579480.000000 181.757500 0.000207664
77 1636579560.000000 181.874000 0.000207515
78 1636579640.000000 181.990500 0.000207485
79 1636579720.000000 182.104500 0.000207604
80 1636579800.000000 182.221000 0.000207634
81 1636579880.000000 182.338000 0.000207842
82 1636579960.000000 182.450500 0.000207872
83 1636580040.000000 182.568500 0.000207932
84 1636580120.000000 182.683000 0.000207813
85 1636580200.000000 182.799500 0.000207693
86 1636580280.000000 182.916500 0.000207604
87 1636580360.000000 183.033500 0.000207515
88 1636580440.000000 183.148000 0.000207604
89 1636580520.000000 183.264000 0.000207693
90 1636580600.000000 183.381500 0.000207842
91 1636580680.000000 183.493500 0.000207902
92 1636580760.000000 183.611000 0.000207932
93 1636580840.000000 183.721500 0.000207842
94 1636580920.000000 183.838000 0.000207753
95 1636581000.000000 183.952000 0.000207664
96 1636581080.000000 184.070000 0.000207604
97 1636581160.000000 184.183500 0.000207664
