# SAMPLE
FTS 150 GHz source and diode detecyot

polysulfone sample 1, McMaster, nom. 1/2" thick, mode B
sanded flat, 180 and 320


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1637217280.000000 139.599000 0.000155837
1 1637217360.000000 139.713000 0.000155867
2 1637217440.000000 139.826500 0.000155778
3 1637217520.000000 139.942000 0.000155807
4 1637217600.000000 140.056000 0.000155837
5 1637217680.000000 140.172000 0.000155807
6 1637217760.000000 140.288500 0.000155837
7 1637217840.000000 140.402500 0.000155897
8 1637217920.000000 140.520000 0.000155956
9 1637218000.000000 140.637000 0.000155867
10 1637218080.000000 140.751500 0.000155956
11 1637218160.000000 140.869500 0.000155986
12 1637218240.000000 140.984000 0.000155897
13 1637218320.000000 141.101000 0.000155897
14 1637218400.000000 141.216500 0.000155867
15 1637218480.000000 141.335000 0.000155956
16 1637218560.000000 141.448000 0.000155897
17 1637218640.000000 141.565000 0.000155956
18 1637218720.000000 141.681500 0.000155986
19 1637218800.000000 141.795000 0.000155927
20 1637218880.000000 141.911500 0.000155986
21 1637218960.000000 142.027000 0.000155956
22 1637219040.000000 142.143000 0.000155867
23 1637219120.000000 142.255500 0.000155897
24 1637219200.000000 142.373500 0.000155956
25 1637219280.000000 142.487500 0.000155956
26 1637219360.000000 142.601000 0.000156076
27 1637219440.000000 142.714500 0.000156046
28 1637219520.000000 142.831000 0.000156076
29 1637219600.000000 142.945000 0.000156076
30 1637219680.000000 143.061000 0.000156135
31 1637219760.000000 143.174000 0.000156105
32 1637219840.000000 143.292000 0.000156076
33 1637219920.000000 143.408000 0.000156105
34 1637220000.000000 143.521500 0.000156046
35 1637220080.000000 143.636500 0.000156195
36 1637220160.000000 143.748500 0.000156165
37 1637220240.000000 143.867000 0.000156165
38 1637220320.000000 143.981000 0.000156135
39 1637220400.000000 144.099000 0.000156165
40 1637220480.000000 144.212000 0.000156195
41 1637220561.000000 144.330000 0.000156225
42 1637220640.000000 144.444500 0.000156165
43 1637220720.000000 144.560500 0.000156195
44 1637220800.000000 144.674000 0.000156255
45 1637220880.000000 144.789500 0.000156284
46 1637220960.000000 144.906500 0.000156284
47 1637221040.000000 145.019000 0.000156344
48 1637221120.000000 145.138000 0.000156374
49 1637221200.000000 145.252000 0.000156255
50 1637221280.000000 145.369500 0.000156195
51 1637221360.000000 145.483500 0.000156284
52 1637221440.000000 145.602500 0.000156314
53 1637221520.000000 145.716000 0.000156314
54 1637221600.000000 145.832500 0.000156374
55 1637221680.000000 145.950000 0.000156374
56 1637221760.000000 146.065000 0.000156314
57 1637221840.000000 146.181000 0.000156374
58 1637221920.000000 146.297000 0.000156255
59 1637222000.000000 146.416000 0.000156374
60 1637222080.000000 146.527000 0.000156284
61 1637222160.000000 146.646000 0.000156284
62 1637222240.000000 146.757500 0.000156404
63 1637222320.000000 146.873500 0.000156374
64 1637222400.000000 146.990000 0.000156463
65 1637222480.000000 147.104500 0.000156433
66 1637222560.000000 147.219000 0.000156493
67 1637222640.000000 147.334000 0.000156493
68 1637222720.000000 147.452000 0.000156404
