# NO SAMPLE
FTS 150 GHz source and diode detecyot

For the B3#18 15/40 6" etalon. First no sample scan. Width of etalon 2 inches.


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1723844820.000000 172.913000 0.000210852
1 1723844900.000000 173.026000 0.000210793
2 1723844980.000000 173.145000 0.000210793
3 1723845060.000000 173.257500 0.000210674
4 1723845140.000000 173.373000 0.000210584
5 1723845220.000000 173.485000 0.000210614
6 1723845300.000000 173.603000 0.000210763
7 1723845380.000000 173.716500 0.000210852
8 1723845460.000000 173.832000 0.000211001
9 1723845540.000000 173.948500 0.000211091
10 1723845620.000000 174.061500 0.000211031
11 1723845700.000000 174.177000 0.000210763
12 1723845780.000000 174.293000 0.000210793
13 1723845860.000000 174.409000 0.000210614
14 1723845940.000000 174.521500 0.000210584
15 1723846020.000000 174.639000 0.000210674
16 1723846100.000000 174.755000 0.000210703
17 1723846180.000000 174.868500 0.000210852
18 1723846260.000000 174.981500 0.000210882
19 1723846340.000000 175.100000 0.000210942
20 1723846420.000000 175.214500 0.000210733
21 1723846500.000000 175.330000 0.000210703
22 1723846580.000000 175.445500 0.000210644
23 1723846660.000000 175.559000 0.000210733
24 1723846740.000000 175.675500 0.000210733
25 1723846820.000000 175.791000 0.000210823
26 1723846900.000000 175.906500 0.000210823
27 1723846980.000000 176.021000 0.000210852
28 1723847060.000000 176.139500 0.000210912
29 1723847140.000000 176.252500 0.000210882
30 1723847220.000000 176.371000 0.000210852
31 1723847300.000000 176.487000 0.000210823
32 1723847380.000000 176.602000 0.000210674
33 1723847460.000000 176.718500 0.000210733
34 1723847540.000000 176.833000 0.000210763
35 1723847620.000000 176.950500 0.000210823
36 1723847700.000000 177.063500 0.000210912
37 1723847780.000000 177.182000 0.000210912
38 1723847860.000000 177.294500 0.000210912
39 1723847940.000000 177.411000 0.000210823
40 1723848020.000000 177.526000 0.000210763
41 1723848100.000000 177.644000 0.000210703
42 1723848180.000000 177.758500 0.000210554
43 1723848260.000000 177.873000 0.000210614
44 1723848340.000000 177.990500 0.000210763
45 1723848420.000000 178.105500 0.000210763
46 1723848500.000000 178.221000 0.000210882
47 1723848580.000000 178.334000 0.000210823
48 1723848660.000000 178.450000 0.000210763
49 1723848740.000000 178.562500 0.000210644
50 1723848820.000000 178.679500 0.000210644
51 1723848900.000000 178.795000 0.000210703
52 1723848980.000000 178.910500 0.000210614
53 1723849060.000000 179.026000 0.000210584
54 1723849140.000000 179.140500 0.000210703
55 1723849220.000000 179.254500 0.000210733
56 1723849300.000000 179.370500 0.000210733
57 1723849380.000000 179.484000 0.000210733
58 1723849460.000000 179.597500 0.000210674
59 1723849540.000000 179.715500 0.000210674
60 1723849620.000000 179.827500 0.000210495
61 1723849700.000000 179.944500 0.000210376
62 1723849780.000000 180.059000 0.000210495
63 1723849860.000000 180.174500 0.000210584
64 1723849940.000000 180.289500 0.000210703
65 1723850020.000000 180.406500 0.000210763
66 1723850100.000000 180.519500 0.000210703
67 1723850180.000000 180.636000 0.000210763
68 1723850260.000000 180.752000 0.000210644
