# NO  SAMPLE
FTS 150 GHz source and diode detecyot

For the B3#18 15/40 6" etalon. Third no sample scan. Width of etalon 2 inches.


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1726506480.000000 172.915500 0.000211061
1 1726506560.000000 173.030000 0.000210912
2 1726506640.000000 173.147500 0.000210972
3 1726506720.000000 173.261500 0.000210852
4 1726506800.000000 173.378500 0.000210793
5 1726506880.000000 173.491000 0.000210793
6 1726506960.000000 173.608000 0.000210882
7 1726507040.000000 173.722500 0.000210942
8 1726507120.000000 173.840500 0.000211001
9 1726507200.000000 173.955000 0.000210942
10 1726507280.000000 174.069500 0.000210912
11 1726507360.000000 174.186000 0.000210852
12 1726507440.000000 174.301500 0.000210763
13 1726507520.000000 174.416000 0.000210763
14 1726507600.000000 174.532000 0.000210793
15 1726507680.000000 174.646000 0.000210793
16 1726507760.000000 174.761000 0.000210882
17 1726507840.000000 174.877500 0.000210972
18 1726507920.000000 174.991000 0.000210912
19 1726508000.000000 175.106500 0.000211031
20 1726508080.000000 175.222000 0.000210852
21 1726508160.000000 175.338500 0.000210912
22 1726508240.000000 175.452500 0.000210852
23 1726508320.000000 175.568500 0.000210763
24 1726508400.000000 175.683000 0.000210823
25 1726508480.000000 175.798000 0.000211001
26 1726508560.000000 175.915500 0.000211091
27 1726508640.000000 176.028000 0.000211091
28 1726508720.000000 176.146500 0.000211061
29 1726508800.000000 176.263500 0.000210972
30 1726508880.000000 176.378500 0.000210882
31 1726508960.000000 176.494000 0.000210823
32 1726509040.000000 176.612500 0.000210763
33 1726509120.000000 176.726000 0.000210733
34 1726509200.000000 176.841000 0.000210703
35 1726509280.000000 176.959000 0.000210763
