#  NO SAMPLE 
FTS 150 GHz source and 95 GHz diode detector, rectangular feedhorn

SAMPLE - no sample, this is for fun test

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-6 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3008276760.000000 172.915500 1.1474e-006
1 3008276840.000000 173.029000 1.15042e-006
2 3008276920.000000 173.143000 1.17534e-006
3 3008277000.000000 173.253000 1.1304e-006
4 3008277080.000000 173.366500 1.12784e-006
5 3008277160.000000 173.477000 1.12411e-006
6 3008277240.000000 173.593000 1.12062e-006
7 3008277320.000000 173.706000 1.14996e-006
8 3008277400.000000 173.822000 1.12691e-006
9 3008277480.000000 173.940000 1.18116e-006
10 3008277560.000000 174.052500 1.14926e-006
11 3008277640.000000 174.168500 1.10293e-006
12 3008277720.000000 174.284000 1.1928e-006
13 3008277800.000000 174.398500 1.12574e-006
14 3008277880.000000 174.512500 1.20677e-006
15 3008277960.000000 174.629000 1.16067e-006
16 3008278040.000000 174.743000 1.09012e-006
17 3008278120.000000 174.858500 1.15624e-006
18 3008278200.000000 174.972000 1.14507e-006
19 3008278280.000000 175.090500 1.1446e-006
20 3008278360.000000 175.203000 1.15578e-006
21 3008278440.000000 175.319500 1.16765e-006
22 3008278520.000000 175.436000 1.18861e-006
23 3008278600.000000 175.551000 1.19257e-006
24 3008278680.000000 175.664500 1.17673e-006
25 3008278760.000000 175.776500 1.12924e-006
26 3008278840.000000 175.895000 1.16532e-006
27 3008278920.000000 176.009500 1.16369e-006
