#  NO SAMPLE 
FTS 150 GHz source and 95 GHz diode detector, higher gain round feedhorn w/circ-rect
waveguide converter

SAMPLE - no sample, this is for fun test

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 140.000000
# speed, mm/s 0.750000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-6 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3010147960.000000 247.889500 1.3481e-006
1 3010148040.000000 247.946000 1.37534e-006
2 3010148120.000000 248.005000 1.40817e-006
3 3010148200.000000 248.059000 1.38372e-006
4 3010148280.000000 248.122000 1.37231e-006
5 3010148360.000000 248.177500 1.35834e-006
6 3010148440.000000 248.234000 1.37813e-006
7 3010148520.000000 248.294500 1.32272e-006
8 3010148600.000000 248.346000 1.36393e-006
9 3010148680.000000 248.407000 1.35741e-006
10 3010148760.000000 248.460000 1.37208e-006
11 3010148840.000000 248.522000 1.32691e-006
12 3010148920.000000 248.585500 1.34251e-006
13 3010149000.000000 248.639500 1.3176e-006
14 3010149080.000000 248.697000 1.35857e-006
15 3010149160.000000 248.750000 1.33622e-006
16 3010149240.000000 248.817000 1.32621e-006
17 3010149320.000000 248.874500 1.35857e-006
18 3010149400.000000 248.927000 1.36277e-006
19 3010149480.000000 248.989500 1.38628e-006
20 3010149560.000000 249.048500 1.36975e-006
21 3010149640.000000 249.108000 1.36463e-006
22 3010149720.000000 249.165000 1.3935e-006
23 3010149800.000000 249.222000 1.38116e-006
24 3010149880.000000 249.276500 1.37278e-006
25 3010149960.000000 249.335500 1.33389e-006
26 3010150040.000000 249.392500 1.29105e-006
27 3010150120.000000 249.452000 1.33739e-006
28 3010150200.000000 249.511000 1.30572e-006
29 3010150280.000000 249.575000 1.32179e-006
30 3010150360.000000 249.629000 1.30782e-006
31 3010150440.000000 249.686000 1.32598e-006
32 3010150520.000000 249.744500 1.33925e-006
33 3010150600.000000 249.804500 1.3481e-006
34 3010150680.000000 249.863500 1.43075e-006
35 3010150760.000000 249.916000 1.38325e-006
36 3010150840.000000 249.972500 1.40002e-006
37 3010150920.000000 250.031500 1.4077e-006
38 3010151000.000000 250.099500 1.3907e-006
39 3010151080.000000 250.157000 1.39443e-006
40 3010151160.000000 250.215000 1.33762e-006
41 3010151240.000000 250.271500 1.3779e-006
42 3010151320.000000 250.331500 1.32621e-006
43 3010151400.000000 250.391000 1.3311e-006
44 3010151480.000000 250.449000 1.3779e-006
45 3010151560.000000 250.505500 1.32016e-006
46 3010151640.000000 250.565000 1.37743e-006
47 3010151720.000000 250.623500 1.29944e-006
48 3010151800.000000 250.682500 1.31573e-006
49 3010151880.000000 250.734500 1.34391e-006
50 3010151960.000000 250.792500 1.32155e-006
51 3010152040.000000 250.853000 1.31573e-006
52 3010152120.000000 250.911000 1.33715e-006
53 3010152200.000000 250.970500 1.36626e-006
54 3010152280.000000 251.028000 1.3467e-006
55 3010152360.000000 251.088500 1.41399e-006
56 3010152440.000000 251.148000 1.39117e-006
57 3010152520.000000 251.201000 1.36114e-006
58 3010152600.000000 251.263500 1.4077e-006
59 3010152680.000000 251.324500 1.34623e-006
60 3010152760.000000 251.382500 1.39839e-006
61 3010152840.000000 251.440000 1.37208e-006
62 3010152920.000000 251.491000 1.31154e-006
63 3010153000.000000 251.556500 1.34833e-006
64 3010153080.000000 251.616000 1.33296e-006
65 3010153160.000000 251.674000 1.31038e-006
66 3010153240.000000 251.731000 1.35741e-006
67 3010153320.000000 251.788000 1.36044e-006
68 3010153400.000000 251.848500 1.35601e-006
69 3010153480.000000 251.907500 1.33692e-006
70 3010153560.000000 251.966500 1.38069e-006
71 3010153640.000000 252.018000 1.38116e-006
72 3010153720.000000 252.076500 1.36044e-006
73 3010153800.000000 252.135500 1.38488e-006
74 3010153880.000000 252.196000 1.39792e-006
75 3010153960.000000 252.252500 1.38838e-006
76 3010154040.000000 252.315000 1.39187e-006
77 3010154120.000000 252.373000 1.36114e-006
78 3010154200.000000 252.425000 1.40025e-006
79 3010154280.000000 252.490000 1.34786e-006
80 3010154360.000000 252.541000 1.33366e-006
81 3010154440.000000 252.603000 1.30689e-006
82 3010154520.000000 252.666000 1.33902e-006
83 3010154600.000000 252.720000 1.32621e-006
84 3010154680.000000 252.780500 1.31899e-006
85 3010154760.000000 252.840500 1.3311e-006
86 3010154840.000000 252.901000 1.37068e-006
87 3010154920.000000 252.953000 1.36556e-006
88 3010155000.000000 253.016000 1.32947e-006
89 3010155080.000000 253.074500 1.36905e-006
90 3010155160.000000 253.132000 1.3765e-006
91 3010155240.000000 253.194500 1.38372e-006
92 3010155320.000000 253.248000 1.35974e-006
93 3010155400.000000 253.304500 1.37604e-006
94 3010155480.000000 253.365500 1.38139e-006
95 3010155560.000000 253.428000 1.3446e-006
96 3010155640.000000 253.486000 1.35438e-006
97 3010155720.000000 253.541500 1.37999e-006
98 3010155800.000000 253.601000 1.33995e-006
99 3010155880.000000 253.654000 1.33366e-006
100 3010155960.000000 253.717500 1.35927e-006
101 3010156040.000000 253.771000 1.3474e-006
102 3010156120.000000 253.834000 1.35881e-006
103 3010156200.000000 253.892000 1.29641e-006
104 3010156280.000000 253.944500 1.35322e-006
105 3010156360.000000 254.007500 1.33552e-006
106 3010156440.000000 254.063500 1.31876e-006
107 3010156520.000000 254.127000 1.39722e-006
108 3010156600.000000 254.181500 1.35531e-006
109 3010156680.000000 254.241000 1.36416e-006
110 3010156760.000000 254.300000 1.36439e-006
111 3010156840.000000 254.359500 1.37022e-006
112 3010156920.000000 254.419500 1.407e-006
113 3010157000.000000 254.477500 1.36882e-006
114 3010157080.000000 254.528000 1.3949e-006
115 3010157160.000000 254.592500 1.35368e-006
116 3010157240.000000 254.646500 1.34344e-006
117 3010157320.000000 254.706000 1.35578e-006
118 3010157400.000000 254.768500 1.31317e-006
119 3010157480.000000 254.821000 1.31294e-006
120 3010157560.000000 254.883000 1.28244e-006
121 3010157640.000000 254.942000 1.35741e-006
122 3010157720.000000 254.999500 1.35392e-006
123 3010157800.000000 255.056500 1.36672e-006
124 3010157880.000000 255.115500 1.37673e-006
125 3010157960.000000 255.176000 1.36346e-006
126 3010158040.000000 255.234500 1.39257e-006
127 3010158120.000000 255.291500 1.40165e-006
128 3010158200.000000 255.351500 1.37348e-006
129 3010158280.000000 255.411000 1.41003e-006
130 3010158360.000000 255.469500 1.33622e-006
131 3010158440.000000 255.528500 1.34833e-006
132 3010158520.000000 255.586500 1.40421e-006
133 3010158600.000000 255.644500 1.36323e-006
134 3010158680.000000 255.699000 1.35252e-006
135 3010158760.000000 255.757500 1.31294e-006
136 3010158840.000000 255.815500 1.3318e-006
137 3010158920.000000 255.872000 1.36672e-006
138 3010159000.000000 255.934000 1.37627e-006
139 3010159080.000000 255.993500 1.363e-006
140 3010159160.000000 256.055000 1.34856e-006
141 3010159240.000000 256.112000 1.36207e-006
142 3010159320.000000 256.172000 1.33506e-006
143 3010159400.000000 256.232500 1.38884e-006
144 3010159480.000000 256.290500 1.37022e-006
145 3010159560.000000 256.341500 1.36626e-006
146 3010159640.000000 256.399000 1.39513e-006
147 3010159720.000000 256.459500 1.39536e-006
148 3010159800.000000 256.519500 1.40584e-006
149 3010159880.000000 256.578500 1.3786e-006
150 3010159960.000000 256.637000 1.35788e-006
151 3010160040.000000 256.697500 1.37883e-006
152 3010160120.000000 256.756000 1.3616e-006
153 3010160200.000000 256.816000 1.35368e-006
154 3010160280.000000 256.872000 1.31178e-006
155 3010160360.000000 256.932000 1.34414e-006
156 3010160440.000000 256.983500 1.38395e-006
157 3010160520.000000 257.041500 1.34693e-006
158 3010160600.000000 257.098500 1.30526e-006
159 3010160680.000000 257.157500 1.34391e-006
160 3010160760.000000 257.218000 1.37953e-006
161 3010160840.000000 257.280000 1.37441e-006
162 3010160920.000000 257.334000 1.33273e-006
163 3010161000.000000 257.393000 1.36253e-006
164 3010161080.000000 257.453500 1.42074e-006
165 3010161160.000000 257.511500 1.41259e-006
