# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3015289022.000000 129.715000 0.000141413
1 3015289100.000000 129.874000 0.000141353
2 3015289200.000000 130.029000 0.000141383
3 3015289280.000000 130.186000 0.000141353
4 3015289360.000000 130.342000 0.000141383
5 3015289440.000000 130.499500 0.000141353
6 3015289520.000000 130.654500 0.000141383
7 3015289600.000000 130.811000 0.000141353
8 3015289680.000000 130.966500 0.000141264
9 3015289760.000000 131.123500 0.000141324
10 3015289840.000000 131.281000 0.000141294
11 3015289920.000000 131.433000 0.000141234
12 3015290000.000000 131.588500 0.000141264
13 3015290080.000000 131.746000 0.000141264
14 3015290160.000000 131.900000 0.000141353
15 3015290240.000000 132.056000 0.000141264
16 3015290320.000000 132.209000 0.000141264
17 3015290400.000000 132.364000 0.000141234
18 3015290480.000000 132.521000 0.000141204
19 3015290560.000000 132.674000 0.000141264
20 3015290640.000000 132.827500 0.000141234
21 3015290720.000000 132.983500 0.000141264
22 3015290800.000000 133.139000 0.000141204
23 3015290880.000000 133.295500 0.000141175
24 3015290960.000000 133.448000 0.000141204
