# NO SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

One Arm Scans

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1069265220.000000 173.022000 0.000136764
1 1069265300.000000 173.177000 0.000136704
2 1069265380.000000 173.324500 0.000136734
3 1069265460.000000 173.478500 0.000136674
4 1069265540.000000 173.633500 0.000136734
5 1069265620.000000 173.788000 0.000136794
6 1069265700.000000 173.944000 0.000136734
7 1069265780.000000 174.098000 0.000136704
8 1069265860.000000 174.253000 0.000136615
9 1069265940.000000 174.411000 0.000136674
10 1069266020.000000 174.561000 0.000136704
11 1069266100.000000 174.716500 0.000136734
12 1069266180.000000 174.870000 0.000136674
13 1069266260.000000 175.025500 0.000136645
14 1069266340.000000 175.184000 0.000136704
15 1069266420.000000 175.336000 0.000136645
16 1069266500.000000 175.489500 0.000136674
17 1069266580.000000 175.647500 0.000136645
18 1069266660.000000 175.802500 0.000136555
19 1069266740.000000 175.956000 0.000136615
20 1069266820.000000 176.108500 0.000136525
21 1069266900.000000 176.264000 0.000136585
22 1069266980.000000 176.421500 0.000136615
23 1069267060.000000 176.577000 0.000136615
24 1069267140.000000 176.731500 0.000136615
25 1069267220.000000 176.888000 0.000136585
26 1069267300.000000 177.041500 0.000136615
27 1069267380.000000 177.196500 0.000136585
28 1069267460.000000 177.353000 0.000136555
29 1069267540.000000 177.506500 0.000136585
30 1069267620.000000 177.663500 0.000136525
31 1069267700.000000 177.817500 0.000136436
32 1069267780.000000 177.977000 0.000136376
33 1069267860.000000 178.129000 0.000136436
34 1069267940.000000 178.285500 0.000136317
35 1069268020.000000 178.438000 0.000136287
36 1069268100.000000 178.591500 0.000136198
37 1069268180.000000 178.749500 0.000136287
38 1069268260.000000 178.905500 0.000136257
39 1069268340.000000 179.058500 0.000136287
40 1069268420.000000 179.216000 0.000136257
41 1069268500.000000 179.366500 0.000136347
42 1069268580.000000 179.524500 0.000136406
43 1069268660.000000 179.680500 0.000136525
44 1069268740.000000 179.832000 0.000136496
45 1069268820.000000 179.990000 0.000136466
46 1069268900.000000 180.143000 0.000136376
47 1069268980.000000 180.297000 0.000136287
48 1069269060.000000 180.452000 0.000136257
49 1069269140.000000 180.606000 0.000136257
50 1069269220.000000 180.761000 0.000136287
51 1069269300.000000 180.916000 0.000136257
52 1069269380.000000 181.067500 0.000136198
53 1069269460.000000 181.225500 0.000136287
54 1069269540.000000 181.379500 0.000136347
55 1069269620.000000 181.537000 0.000136347
56 1069269700.000000 181.693500 0.000136257
57 1069269780.000000 181.850500 0.000136227
58 1069269860.000000 182.006000 0.000136287
59 1069269940.000000 182.159000 0.000136168
60 1069270020.000000 182.317500 0.000136257
61 1069270100.000000 182.472000 0.000136287
62 1069270180.000000 182.626000 0.000136168
63 1069270260.000000 182.782500 0.000136138
64 1069270340.000000 182.939500 0.000136257
65 1069270420.000000 183.099000 0.000136227
66 1069270500.000000 183.250000 0.000136138
