#  SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

X  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1111204163.000000 173.013500 0.000177831
1 1111204240.000000 173.171000 0.000177653
2 1111204320.000000 173.320000 0.000177623
3 1111204400.000000 173.467000 0.000177593
4 1111204480.000000 173.613500 0.000177772
5 1111204560.000000 173.757000 0.000177802
6 1111204640.000000 173.913500 0.000177861
7 1111204720.000000 174.066500 0.000177921
8 1111204800.000000 174.223000 0.000177682
9 1111204880.000000 174.378000 0.000177533
10 1111204960.000000 174.528500 0.000177474
11 1111205040.000000 174.686500 0.000177563
12 1111205120.000000 174.839500 0.000177742
13 1111205200.000000 174.996000 0.000177653
14 1111205280.000000 175.151500 0.000177533
15 1111205360.000000 175.305000 0.000177563
16 1111205441.000000 175.459500 0.000177474
17 1111205520.000000 175.616000 0.000177563
18 1111205600.000000 175.770000 0.000177563
19 1111205680.000000 175.925000 0.000177653
20 1111205760.000000 176.080500 0.000177682
21 1111205840.000000 176.238000 0.000177623
22 1111205920.000000 176.393500 0.000177533
23 1111206000.000000 176.545500 0.000177533
24 1111206080.000000 176.704000 0.000177414
25 1111206160.000000 176.858000 0.000177533
26 1111206240.000000 177.014500 0.000177653
27 1111206320.000000 177.170500 0.000177712
28 1111206400.000000 177.321500 0.000177593
29 1111206480.000000 177.480500 0.000177384
30 1111206560.000000 177.633500 0.000177384
31 1111206640.000000 177.789500 0.000177355
32 1111206720.000000 177.946500 0.000177444
33 1111206800.000000 178.098000 0.000177533
34 1111206880.000000 178.256500 0.000177504
35 1111206960.000000 178.411500 0.000177444
36 1111207040.000000 178.563500 0.000177384
37 1111207120.000000 178.719500 0.000177235
38 1111207200.000000 178.876000 0.000177265
39 1111207280.000000 179.030000 0.000177325
40 1111207360.000000 179.185000 0.000177533
41 1111207440.000000 179.338000 0.000177504
42 1111207520.000000 179.495500 0.000177504
43 1111207600.000000 179.648500 0.000177235
44 1111207680.000000 179.802000 0.000177235
45 1111207760.000000 179.959500 0.000177295
46 1111207840.000000 180.114500 0.000177414
47 1111207920.000000 180.271500 0.000177414
48 1111208000.000000 180.422500 0.000177444
49 1111208080.000000 180.576000 0.000177355
50 1111208160.000000 180.732000 0.000177235
51 1111208240.000000 180.886000 0.000177146
52 1111208320.000000 181.041000 0.000177206
53 1111208400.000000 181.194500 0.000177355
54 1111208480.000000 181.352000 0.000177444
55 1111208560.000000 181.511500 0.000177295
56 1111208640.000000 181.663500 0.000177355
57 1111208720.000000 181.821500 0.000177265
58 1111208800.000000 181.976000 0.000177146
59 1111208880.000000 182.131000 0.000177146
60 1111208960.000000 182.287500 0.000177295
61 1111209040.000000 182.439000 0.000177444
62 1111209120.000000 182.599000 0.000177295
63 1111209200.000000 182.757500 0.000177235
64 1111209280.000000 182.909500 0.000177206
65 1111209360.000000 183.066500 0.000177235
66 1111209440.000000 183.221000 0.000177235
67 1111209520.000000 183.377500 0.000177414
68 1111209600.000000 183.532000 0.000177414
69 1111209680.000000 183.684000 0.000177206
70 1111209760.000000 183.837500 0.000177116
71 1111209840.000000 183.993500 0.000177027
72 1111209920.000000 184.150000 0.000177086
73 1111210000.000000 184.304500 0.000177176
74 1111210080.000000 184.459000 0.000177235
75 1111210160.000000 184.616500 0.000177355
76 1111210240.000000 184.768500 0.000177295
77 1111210320.000000 184.923500 0.000177176
78 1111210400.000000 185.081500 0.000177057
79 1111210480.000000 185.232500 0.000177027
80 1111210560.000000 185.389000 0.000177116
81 1111210640.000000 185.545500 0.000177206
82 1111210720.000000 185.697500 0.000177235
83 1111210800.000000 185.855000 0.000177176
84 1111210880.000000 186.010500 0.000177146
85 1111210960.000000 186.164500 0.000177146
86 1111211040.000000 186.321000 0.000177206
87 1111211120.000000 186.475000 0.000177146
88 1111211200.000000 186.630500 0.000177146
89 1111211280.000000 186.788500 0.000177116
90 1111211360.000000 186.941000 0.000177086
91 1111211440.000000 187.096500 0.000177086
92 1111211520.000000 187.248500 0.000177027
93 1111211600.000000 187.407000 0.000177027
94 1111211680.000000 187.563000 0.000177027
95 1111211760.000000 187.716500 0.000176997
96 1111211840.000000 187.872500 0.000177057
97 1111211920.000000 188.027000 0.000177027
98 1111212000.000000 188.184000 0.000177086
99 1111212080.000000 188.338500 0.000177086
100 1111212160.000000 188.491500 0.000176997
101 1111212240.000000 188.649500 0.000176908
102 1111212320.000000 188.803500 0.000176848
103 1111212400.000000 188.955500 0.000176818
104 1111212480.000000 189.111500 0.000176878
105 1111212560.000000 189.264500 0.000177116
106 1111212640.000000 189.423000 0.000177146
107 1111212720.000000 189.578000 0.000176937
108 1111212800.000000 189.731000 0.000176937
109 1111212880.000000 189.887500 0.000176818
110 1111212960.000000 190.039000 0.000177057
111 1111213040.000000 190.196500 0.000177235
112 1111213120.000000 190.352500 0.000177325
113 1111213200.000000 190.505500 0.000177265
114 1111213280.000000 190.662500 0.000176997
115 1111213360.000000 190.816500 0.000176937
116 1111213440.000000 190.970500 0.000176878
117 1111213520.000000 191.125500 0.000177086
118 1111213600.000000 191.280500 0.000177295
119 1111213680.000000 191.435000 0.000177384
120 1111213760.000000 191.591500 0.000177116
121 1111213840.000000 191.746000 0.000177057
122 1111213920.000000 191.904500 0.000176937
123 1111214000.000000 192.061000 0.000177086
124 1111214080.000000 192.216000 0.000177355
125 1111214160.000000 192.372500 0.000177444
126 1111214240.000000 192.526000 0.000177384
127 1111214320.000000 192.681000 0.000176997
128 1111214400.000000 192.835500 0.000176848
129 1111214480.000000 192.993500 0.000176788
130 1111214560.000000 193.147500 0.000176967
131 1111214640.000000 193.304000 0.000177176
132 1111214720.000000 193.460000 0.000177235
133 1111214800.000000 193.612500 0.000177146
134 1111214880.000000 193.768500 0.000176937
135 1111214960.000000 193.923500 0.000176848
136 1111215040.000000 194.076000 0.000176848
137 1111215120.000000 194.233500 0.000177027
138 1111215200.000000 194.385500 0.000177265
139 1111215280.000000 194.542500 0.000177325
140 1111215360.000000 194.700000 0.000177235
141 1111215440.000000 194.852000 0.000176937
142 1111215520.000000 195.006500 0.000176818
143 1111215600.000000 195.162000 0.000176997
144 1111215680.000000 195.318500 0.000177235
145 1111215760.000000 195.475000 0.000177474
146 1111215840.000000 195.627000 0.000177563
147 1111215920.000000 195.782500 0.000177295
148 1111216000.000000 195.938000 0.000177086
149 1111216080.000000 196.091500 0.000176937
150 1111216160.000000 196.247000 0.000176997
151 1111216240.000000 196.400500 0.000177116
152 1111216320.000000 196.557500 0.000177265
153 1111216400.000000 196.716000 0.000177235
154 1111216480.000000 196.868500 0.000177146
155 1111216560.000000 197.025500 0.000176997
156 1111216640.000000 197.181500 0.000176997
157 1111216720.000000 197.335500 0.000176967
158 1111216800.000000 197.492500 0.000177116
159 1111216880.000000 197.645000 0.000177116
160 1111216960.000000 197.802000 0.000177235
161 1111217040.000000 197.957000 0.000177146
162 1111217120.000000 198.112500 0.000177086
163 1111217200.000000 198.267500 0.000176878
164 1111217280.000000 198.421500 0.000176937
165 1111217360.000000 198.580000 0.000177027
166 1111217440.000000 198.733500 0.000177265
167 1111217520.000000 198.886500 0.000177325
168 1111217600.000000 199.043000 0.000177265
169 1111217680.000000 199.195000 0.000177146
170 1111217760.000000 199.352500 0.000176967
171 1111217840.000000 199.508500 0.000176967
172 1111217920.000000 199.662000 0.000177146
173 1111218000.000000 199.819000 0.000177235
174 1111218080.000000 199.972000 0.000177325
175 1111218160.000000 200.129500 0.000177265
176 1111218240.000000 200.281500 0.000177146
177 1111218320.000000 200.436000 0.000177027
178 1111218400.000000 200.594500 0.000176997
179 1111218480.000000 200.745500 0.000177146
180 1111218560.000000 200.902500 0.000177235
181 1111218640.000000 201.058000 0.000177444
182 1111218720.000000 201.211500 0.000177384
183 1111218800.000000 201.365000 0.000177176
184 1111218880.000000 201.522000 0.000177027
185 1111218960.000000 201.675500 0.000176967
186 1111219040.000000 201.831000 0.000177086
187 1111219120.000000 201.986500 0.000177057
188 1111219200.000000 202.144500 0.000177086
189 1111219280.000000 202.299000 0.000177057
190 1111219360.000000 202.453500 0.000176937
191 1111219440.000000 202.611000 0.000176818
192 1111219520.000000 202.766000 0.000176669
193 1111219600.000000 202.919500 0.000176699
194 1111219680.000000 203.072000 0.000176878
195 1111219760.000000 203.227500 0.000177086
196 1111219840.000000 203.385500 0.000177086
197 1111219920.000000 203.539500 0.000176878
198 1111220000.000000 203.694000 0.000176639
199 1111220080.000000 203.851500 0.000176669
200 1111220160.000000 204.002000 0.000176729
201 1111220240.000000 204.160000 0.000176848
202 1111220320.000000 204.315000 0.000177027
203 1111220400.000000 204.468000 0.000176967
204 1111220480.000000 204.625000 0.000176818
205 1111220560.000000 204.780000 0.000176639
206 1111220640.000000 204.934000 0.00017646
207 1111220720.000000 205.090000 0.00017652
208 1111220800.000000 205.242500 0.000176759
209 1111220880.000000 205.399000 0.000176818
210 1111220960.000000 205.554000 0.000176788
211 1111221040.000000 205.711000 0.000176669
212 1111221120.000000 205.867500 0.000176341
213 1111221200.000000 206.019000 0.000176252
214 1111221280.000000 206.176500 0.00017646
215 1111221360.000000 206.331500 0.000176699
216 1111221440.000000 206.483500 0.000176878
217 1111221520.000000 206.641000 0.000176818
218 1111221600.000000 206.796500 0.00017655
219 1111221680.000000 206.952000 0.000176192
220 1111221760.000000 207.108000 0.000176222
221 1111221840.000000 207.264000 0.00017646
222 1111221920.000000 207.418000 0.000176729
223 1111222000.000000 207.572500 0.000176818
224 1111222080.000000 207.730500 0.000176609
225 1111222160.000000 207.882000 0.000176401
226 1111222240.000000 208.035500 0.000176133
227 1111222320.000000 208.194000 0.000176252
