# NO SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1073241080.000000 173.021000 0.000188203
1 1073241160.000000 173.178000 0.000187994
2 1073241240.000000 173.329000 0.000187875
3 1073241320.000000 173.484000 0.000187845
4 1073241400.000000 173.640000 0.000187934
5 1073241480.000000 173.795500 0.000188083
6 1073241560.000000 173.949500 0.000188113
7 1073241640.000000 174.103000 0.000188143
8 1073241720.000000 174.258000 0.000188083
9 1073241800.000000 174.415500 0.000188054
10 1073241880.000000 174.567000 0.000188054
11 1073241960.000000 174.721500 0.000188024
12 1073242040.000000 174.880000 0.000188113
13 1073242120.000000 175.034000 0.000188054
14 1073242200.000000 175.189000 0.000187934
15 1073242280.000000 175.342500 0.000187905
16 1073242360.000000 175.495000 0.000187815
17 1073242440.000000 175.653000 0.000187815
18 1073242520.000000 175.806000 0.000187905
19 1073242600.000000 175.962000 0.000188113
20 1073242680.000000 176.116000 0.000187994
21 1073242760.000000 176.273500 0.000187934
22 1073242840.000000 176.429000 0.000187815
23 1073242920.000000 176.582500 0.000187726
24 1073243000.000000 176.738500 0.000187726
25 1073243080.000000 176.894000 0.000187905
26 1073243160.000000 177.046500 0.000187905
27 1073243240.000000 177.205000 0.000187934
28 1073243320.000000 177.357500 0.000187905
29 1073243400.000000 177.514500 0.000187756
30 1073243480.000000 177.672500 0.000187785
31 1073243560.000000 177.824000 0.000187756
32 1073243640.000000 177.983500 0.000187726
33 1073243720.000000 178.138500 0.000187815
34 1073243800.000000 178.292000 0.000187815
35 1073243880.000000 178.448000 0.000187696
36 1073243960.000000 178.600500 0.000187636
37 1073244040.000000 178.755000 0.000187487
38 1073244120.000000 178.911500 0.000187577
39 1073244200.000000 179.067000 0.000187726
40 1073244280.000000 179.221000 0.000187815
41 1073244360.000000 179.375500 0.000187815
42 1073244440.000000 179.531000 0.000187726
43 1073244520.000000 179.685500 0.000187636
44 1073244600.000000 179.841500 0.000187577
45 1073244680.000000 179.995500 0.000187636
46 1073244760.000000 180.149000 0.000187696
47 1073244840.000000 180.305500 0.000187785
48 1073244920.000000 180.459000 0.000187785
49 1073245000.000000 180.611000 0.000187666
50 1073245080.000000 180.767000 0.000187517
51 1073245160.000000 180.921500 0.000187547
52 1073245240.000000 181.077000 0.000187607
53 1073245320.000000 181.231500 0.000187666
54 1073245400.000000 181.386500 0.000187696
55 1073245480.000000 181.545000 0.000187636
56 1073245560.000000 181.702500 0.000187547
57 1073245640.000000 181.857000 0.000187487
58 1073245720.000000 182.013000 0.000187487
59 1073245800.000000 182.168500 0.000187428
60 1073245880.000000 182.326000 0.000187547
61 1073245960.000000 182.478000 0.000187696
62 1073246040.000000 182.634000 0.000187517
63 1073246120.000000 182.789000 0.000187428
64 1073246200.000000 182.945500 0.000187398
65 1073246280.000000 183.102000 0.000187398
66 1073246360.000000 183.255000 0.000187577
67 1073246440.000000 183.412500 0.000187666
68 1073246520.000000 183.568000 0.000187726
69 1073246600.000000 183.720000 0.000187666
70 1073246680.000000 183.876500 0.000187517
71 1073246760.000000 184.031500 0.000187398
72 1073246840.000000 184.184500 0.000187338
73 1073246920.000000 184.343500 0.000187458
74 1073247000.000000 184.494500 0.000187458
75 1073247080.000000 184.650500 0.000187607
76 1073247160.000000 184.806500 0.000187517
77 1073247240.000000 184.958000 0.000187398
78 1073247320.000000 185.116000 0.000187487
79 1073247400.000000 185.273000 0.000187428
80 1073247480.000000 185.427500 0.000187517
81 1073247560.000000 185.583000 0.000187517
82 1073247640.000000 185.738000 0.000187577
83 1073247720.000000 185.891500 0.000187428
84 1073247801.000000 186.047000 0.000187398
85 1073247880.000000 186.201000 0.000187428
86 1073247960.000000 186.356500 0.000187577
87 1073248040.000000 186.512500 0.000187577
88 1073248120.000000 186.667500 0.000187547
89 1073248200.000000 186.822500 0.000187487
90 1073248280.000000 186.978000 0.000187428
91 1073248360.000000 187.135500 0.000187428
92 1073248440.000000 187.288000 0.000187428
93 1073248520.000000 187.444000 0.000187398
94 1073248600.000000 187.598500 0.000187338
95 1073248680.000000 187.753500 0.000187368
96 1073248760.000000 187.908000 0.000187398
97 1073248840.000000 188.064500 0.000187428
98 1073248920.000000 188.220000 0.000187517
99 1073249000.000000 188.375000 0.000187547
100 1073249080.000000 188.527000 0.000187428
101 1073249160.000000 188.682000 0.000187338
102 1073249240.000000 188.836500 0.000187279
103 1073249320.000000 188.991000 0.000187338
104 1073249400.000000 189.147500 0.000187338
105 1073249480.000000 189.300500 0.000187428
106 1073249560.000000 189.459000 0.000187577
107 1073249640.000000 189.617000 0.000187338
108 1073249720.000000 189.767500 0.000187338
109 1073249800.000000 189.924500 0.000187338
110 1073249880.000000 190.078000 0.000187368
111 1073249960.000000 190.233500 0.000187517
112 1073250040.000000 190.390000 0.000187577
113 1073250120.000000 190.541000 0.000187517
114 1073250200.000000 190.698000 0.000187428
115 1073250280.000000 190.849000 0.000187309
116 1073250360.000000 191.004500 0.000187189
117 1073250440.000000 191.162000 0.000187398
118 1073250520.000000 191.314000 0.000187547
119 1073250600.000000 191.471000 0.000187636
120 1073250680.000000 191.628500 0.000187547
121 1073250760.000000 191.781500 0.000187398
122 1073250840.000000 191.940500 0.000187279
123 1073250920.000000 192.094500 0.000187279
124 1073251000.000000 192.252500 0.000187547
125 1073251080.000000 192.408000 0.000187845
126 1073251160.000000 192.564500 0.000187905
127 1073251240.000000 192.722000 0.000187785
128 1073251320.000000 192.874500 0.000187487
129 1073251400.000000 193.029500 0.000187279
130 1073251480.000000 193.183500 0.000187279
131 1073251560.000000 193.339500 0.000187547
132 1073251640.000000 193.494500 0.000187696
133 1073251720.000000 193.651000 0.000187636
134 1073251800.000000 193.806000 0.000187428
135 1073251880.000000 193.959000 0.000187338
136 1073251960.000000 194.114000 0.000187249
137 1073252040.000000 194.271500 0.000187458
138 1073252120.000000 194.425000 0.000187666
139 1073252200.000000 194.579500 0.000187696
140 1073252280.000000 194.733500 0.000187636
141 1073252360.000000 194.888000 0.000187517
142 1073252440.000000 195.046500 0.000187428
143 1073252520.000000 195.199000 0.000187428
144 1073252600.000000 195.353500 0.000187577
145 1073252680.000000 195.511500 0.000187756
146 1073252760.000000 195.664500 0.000187905
147 1073252840.000000 195.818500 0.000187905
148 1073252920.000000 195.974000 0.000187726
149 1073253000.000000 196.128500 0.000187517
150 1073253080.000000 196.287000 0.000187398
151 1073253160.000000 196.439000 0.000187636
152 1073253240.000000 196.591000 0.000187785
153 1073253320.000000 196.749500 0.000187875
154 1073253400.000000 196.905500 0.000187815
155 1073253480.000000 197.061500 0.000187696
156 1073253560.000000 197.216500 0.000187607
157 1073253640.000000 197.371000 0.000187517
158 1073253720.000000 197.530500 0.000187785
159 1073253800.000000 197.682500 0.000187934
160 1073253880.000000 197.838500 0.000187905
161 1073253960.000000 197.993500 0.000187875
162 1073254040.000000 198.145500 0.000187696
163 1073254120.000000 198.305000 0.000187547
164 1073254200.000000 198.457000 0.000187577
165 1073254280.000000 198.614000 0.000187696
166 1073254360.000000 198.770500 0.000187964
167 1073254440.000000 198.920500 0.000187964
168 1073254520.000000 199.078500 0.000187934
169 1073254600.000000 199.234000 0.000187905
170 1073254680.000000 199.387500 0.000187577
171 1073254760.000000 199.544000 0.000187636
172 1073254840.000000 199.699500 0.000187785
173 1073254920.000000 199.855000 0.000187905
174 1073255000.000000 200.010500 0.000187994
175 1073255080.000000 200.162500 0.000187845
176 1073255160.000000 200.320500 0.000187666
177 1073255240.000000 200.475000 0.000187487
178 1073255320.000000 200.628000 0.000187458
179 1073255400.000000 200.784000 0.000187547
180 1073255480.000000 200.939000 0.000187696
181 1073255560.000000 201.092000 0.000187756
182 1073255640.000000 201.246000 0.000187666
183 1073255720.000000 201.402000 0.000187547
184 1073255800.000000 201.556500 0.000187428
185 1073255880.000000 201.712000 0.000187487
186 1073255960.000000 201.869000 0.000187517
187 1073256040.000000 202.023500 0.000187666
188 1073256120.000000 202.180000 0.000187666
189 1073256200.000000 202.336500 0.000187577
190 1073256280.000000 202.487000 0.000187398
191 1073256360.000000 202.644000 0.000187279
192 1073256440.000000 202.799500 0.000187279
193 1073256520.000000 202.954500 0.000187309
194 1073256600.000000 203.109500 0.000187279
195 1073256680.000000 203.263000 0.000187487
196 1073256760.000000 203.423000 0.000187428
197 1073256840.000000 203.578500 0.000187368
198 1073256920.000000 203.731500 0.000187219
199 1073257000.000000 203.885000 0.0001871
200 1073257080.000000 204.040500 0.000187219
201 1073257160.000000 204.197500 0.000187398
202 1073257240.000000 204.351000 0.000187487
203 1073257320.000000 204.505500 0.000187517
204 1073257400.000000 204.660000 0.000187249
205 1073257480.000000 204.815500 0.0001871
206 1073257560.000000 204.972500 0.000187011
207 1073257640.000000 205.125000 0.00018713
208 1073257720.000000 205.279000 0.000187249
209 1073257800.000000 205.437000 0.000187398
210 1073257880.000000 205.591500 0.000187398
211 1073257960.000000 205.744500 0.00018713
212 1073258040.000000 205.902000 0.000186861
213 1073258120.000000 206.054000 0.000186921
214 1073258200.000000 206.211000 0.000187011
215 1073258280.000000 206.366500 0.000187219
216 1073258360.000000 206.521000 0.000187279
217 1073258440.000000 206.675500 0.00018716
218 1073258520.000000 206.831000 0.00018704
219 1073258600.000000 206.989000 0.000186832
220 1073258680.000000 207.143500 0.000186712
221 1073258760.000000 207.298500 0.000186832
222 1073258840.000000 207.456000 0.0001871
223 1073258920.000000 207.609000 0.00018713
224 1073259000.000000 207.764500 0.00018704
225 1073259080.000000 207.922000 0.000186772
226 1073259160.000000 208.072500 0.000186593
227 1073259240.000000 208.230500 0.000186653
228 1073259320.000000 208.386000 0.000186921
229 1073259401.000000 208.540000 0.00018713
230 1073259480.000000 208.695000 0.00018716
231 1073259560.000000 208.850000 0.00018704
232 1073259640.000000 209.004000 0.000186802
233 1073259720.000000 209.157500 0.000186563
234 1073259800.000000 209.310000 0.000186683
235 1073259880.000000 209.469000 0.000186712
236 1073259960.000000 209.623500 0.000186951
237 1073260040.000000 209.778000 0.000186981
238 1073260120.000000 209.932000 0.000186861
239 1073260200.000000 210.086500 0.000186653
240 1073260280.000000 210.243500 0.000186474
241 1073260360.000000 210.396500 0.000186504
242 1073260440.000000 210.551000 0.000186653
243 1073260520.000000 210.709500 0.000186832
244 1073260600.000000 210.864500 0.000186891
245 1073260680.000000 211.022000 0.000186832
246 1073260760.000000 211.174500 0.000186593
247 1073260840.000000 211.326500 0.000186444
248 1073260920.000000 211.482000 0.000186236
249 1073261000.000000 211.636500 0.000186414
250 1073261080.000000 211.794000 0.000186563
251 1073261160.000000 211.947000 0.000186772
252 1073261240.000000 212.103000 0.000186653
253 1073261320.000000 212.259000 0.000186414
254 1073261400.000000 212.412500 0.000186236
255 1073261480.000000 212.570500 0.000186176
256 1073261560.000000 212.726000 0.000186444
257 1073261640.000000 212.878500 0.000186653
258 1073261720.000000 213.036000 0.000186802
259 1073261800.000000 213.192000 0.000186593
260 1073261880.000000 213.345500 0.000186385
261 1073261960.000000 213.501500 0.000186116
262 1073262040.000000 213.658000 0.000186116
263 1073262120.000000 213.812000 0.000186295
264 1073262200.000000 213.967000 0.000186593
265 1073262280.000000 214.122500 0.000186683
266 1073262360.000000 214.276500 0.000186504
267 1073262440.000000 214.430000 0.000186236
268 1073262520.000000 214.588000 0.000185967
269 1073262600.000000 214.741000 0.000186116
270 1073262680.000000 214.897000 0.000186295
271 1073262760.000000 215.054000 0.000186504
272 1073262840.000000 215.205000 0.000186593
273 1073262920.000000 215.362500 0.000186444
274 1073263000.000000 215.519500 0.000186176
275 1073263080.000000 215.673500 0.000185908
276 1073263160.000000 215.827000 0.000185878
277 1073263240.000000 215.983000 0.000186087
278 1073263320.000000 216.137500 0.000186355
279 1073263400.000000 216.293500 0.000186474
280 1073263480.000000 216.445000 0.000186295
281 1073263560.000000 216.602000 0.000185967
282 1073263640.000000 216.758500 0.000185789
283 1073263720.000000 216.915000 0.000185789
284 1073263800.000000 217.068000 0.000186116
285 1073263880.000000 217.220500 0.000186355
286 1073263960.000000 217.378500 0.000186385
287 1073264040.000000 217.535500 0.000186146
288 1073264120.000000 217.690000 0.000185848
289 1073264200.000000 217.843500 0.00018564
290 1073264280.000000 217.997000 0.000185699
291 1073264360.000000 218.154500 0.000185967
292 1073264440.000000 218.310000 0.000186116
293 1073264520.000000 218.460500 0.000186206
294 1073264600.000000 218.619000 0.000186087
295 1073264680.000000 218.773500 0.000185818
296 1073264760.000000 218.928500 0.00018555
297 1073264840.000000 219.084000 0.00018564
298 1073264920.000000 219.236000 0.000185878
299 1073265000.000000 219.393500 0.000186146
300 1073265080.000000 219.546500 0.000186176
301 1073265160.000000 219.702500 0.000185967
302 1073265240.000000 219.860000 0.000185699
303 1073265320.000000 220.012000 0.00018558
304 1073265400.000000 220.169000 0.00018555
305 1073265480.000000 220.323000 0.000185818
306 1073265560.000000 220.476000 0.000185997
307 1073265640.000000 220.632500 0.000185997
308 1073265720.000000 220.786500 0.000185848
309 1073265800.000000 220.942000 0.00018555
310 1073265880.000000 221.098500 0.000185371
311 1073265960.000000 221.254000 0.000185461
312 1073266040.000000 221.408000 0.000185729
313 1073266120.000000 221.562500 0.000185938
314 1073266200.000000 221.720000 0.000185938
315 1073266280.000000 221.872500 0.000185729
316 1073266360.000000 222.028000 0.00018555
317 1073266440.000000 222.179000 0.000185342
318 1073266520.000000 222.340500 0.000185431
319 1073266600.000000 222.495000 0.00018561
320 1073266680.000000 222.651000 0.000185818
321 1073266760.000000 222.803500 0.000185818
322 1073266840.000000 222.961000 0.000185669
323 1073266920.000000 223.117500 0.000185431
324 1073267000.000000 223.270000 0.000185252
325 1073267080.000000 223.428500 0.000185312
326 1073267160.000000 223.580000 0.00018555
327 1073267240.000000 223.736000 0.000185789
328 1073267320.000000 223.890000 0.000185818
329 1073267400.000000 224.045500 0.000185699
330 1073267480.000000 224.201500 0.000185461
331 1073267560.000000 224.354500 0.000185222
332 1073267640.000000 224.510500 0.000185252
333 1073267720.000000 224.664000 0.00018552
334 1073267800.000000 224.820000 0.000185729
335 1073267880.000000 224.976500 0.000185818
336 1073267960.000000 225.131000 0.00018558
337 1073268040.000000 225.286500 0.000185282
338 1073268120.000000 225.441500 0.000185133
339 1073268200.000000 225.595000 0.000185222
340 1073268280.000000 225.748500 0.00018552
341 1073268360.000000 225.904500 0.000185699
342 1073268440.000000 226.062000 0.000185699
343 1073268520.000000 226.217500 0.000185431
344 1073268600.000000 226.371500 0.000185163
345 1073268680.000000 226.527000 0.000185073
346 1073268760.000000 226.682500 0.000185252
347 1073268840.000000 226.838500 0.000185461
348 1073268920.000000 226.993000 0.00018561
349 1073269000.000000 227.148000 0.00018555
350 1073269080.000000 227.305500 0.000185312
351 1073269160.000000 227.460000 0.000185044
352 1073269240.000000 227.616500 0.000184984
353 1073269320.000000 227.773500 0.000185133
354 1073269400.000000 227.924500 0.000185371
355 1073269480.000000 228.081000 0.000185431
356 1073269560.000000 228.237500 0.000185401
357 1073269640.000000 228.387500 0.000185193
358 1073269720.000000 228.545500 0.000184984
359 1073269800.000000 228.702000 0.000185044
360 1073269880.000000 228.854000 0.000185193
361 1073269960.000000 229.012000 0.000185371
362 1073270040.000000 229.165500 0.000185401
363 1073270120.000000 229.319500 0.000185282
364 1073270200.000000 229.475500 0.000185133
365 1073270280.000000 229.630500 0.000185044
366 1073270360.000000 229.785000 0.000185103
367 1073270440.000000 229.940500 0.000185282
368 1073270520.000000 230.094500 0.000185401
369 1073270600.000000 230.250000 0.000185282
370 1073270680.000000 230.405000 0.000185193
371 1073270760.000000 230.561000 0.000185252
372 1073270840.000000 230.712500 0.000185163
373 1073270920.000000 230.870500 0.000185193
374 1073271000.000000 231.023000 0.000185282
375 1073271080.000000 231.178000 0.000185252
376 1073271160.000000 231.336000 0.000185252
377 1073271240.000000 231.492000 0.000185193
378 1073271320.000000 231.644500 0.000185282
379 1073271400.000000 231.799500 0.000185282
380 1073271480.000000 231.951500 0.000185252
381 1073271560.000000 232.110000 0.000185252
382 1073271640.000000 232.265500 0.000185103
383 1073271720.000000 232.419000 0.000185193
384 1073271800.000000 232.575500 0.000185282
385 1073271880.000000 232.731000 0.000185371
386 1073271960.000000 232.888500 0.000185401
387 1073272040.000000 233.041000 0.000185282
388 1073272120.000000 233.195000 0.000185163
389 1073272200.000000 233.355000 0.000185133
390 1073272280.000000 233.508500 0.000185222
391 1073272360.000000 233.664000 0.000185342
392 1073272440.000000 233.820000 0.000185401
393 1073272520.000000 233.972500 0.000185252
394 1073272600.000000 234.129000 0.000185103
395 1073272680.000000 234.284000 0.000185133
396 1073272760.000000 234.436500 0.000185133
397 1073272840.000000 234.593000 0.000185312
398 1073272920.000000 234.748000 0.000185371
399 1073273000.000000 234.904000 0.000185371
400 1073273080.000000 235.061000 0.000185312
401 1073273160.000000 235.214500 0.000185103
402 1073273240.000000 235.371500 0.000185103
403 1073273320.000000 235.524000 0.000185103
404 1073273400.000000 235.677500 0.000185282
405 1073273480.000000 235.836000 0.000185431
406 1073273560.000000 235.990500 0.000185431
407 1073273640.000000 236.145500 0.000185252
408 1073273720.000000 236.301000 0.000185133
409 1073273800.000000 236.456000 0.000185044
410 1073273880.000000 236.612000 0.000185103
411 1073273960.000000 236.767000 0.000185193
412 1073274040.000000 236.921500 0.000185193
413 1073274120.000000 237.077500 0.000185312
414 1073274200.000000 237.233500 0.000185222
415 1073274280.000000 237.389000 0.000185193
416 1073274360.000000 237.545500 0.000185133
417 1073274440.000000 237.700000 0.000185103
418 1073274520.000000 237.856000 0.000185163
419 1073274600.000000 238.012500 0.000185163
420 1073274680.000000 238.166000 0.000185282
421 1073274760.000000 238.319500 0.000185371
422 1073274840.000000 238.478000 0.000185252
423 1073274920.000000 238.629000 0.000185133
424 1073275000.000000 238.783500 0.000185014
425 1073275080.000000 238.939500 0.000185103
426 1073275160.000000 239.092000 0.000185312
427 1073275240.000000 239.250000 0.00018552
428 1073275320.000000 239.407000 0.00018558
429 1073275400.000000 239.557000 0.000185342
430 1073275480.000000 239.713500 0.000185193
431 1073275560.000000 239.866500 0.000184984
432 1073275640.000000 240.023500 0.000185193
433 1073275720.000000 240.181000 0.00018552
434 1073275800.000000 240.333500 0.000185699
435 1073275880.000000 240.489500 0.000185729
436 1073275960.000000 240.645500 0.000185371
437 1073276040.000000 240.801500 0.000185193
438 1073276120.000000 240.956000 0.000185133
439 1073276200.000000 241.108500 0.000185371
440 1073276280.000000 241.266500 0.00018555
441 1073276360.000000 241.420000 0.000185669
442 1073276440.000000 241.576500 0.00018558
443 1073276520.000000 241.732500 0.000185431
444 1073276600.000000 241.885000 0.000185282
445 1073276680.000000 242.042000 0.000185252
446 1073276760.000000 242.199000 0.000185342
447 1073276840.000000 242.351000 0.00018561
448 1073276920.000000 242.509000 0.000185729
449 1073277000.000000 242.665000 0.000185729
450 1073277080.000000 242.819500 0.00018558
451 1073277160.000000 242.975000 0.000185312
452 1073277240.000000 243.131000 0.000185282
453 1073277320.000000 243.285000 0.000185312
454 1073277400.000000 243.440500 0.000185461
455 1073277480.000000 243.597000 0.000185818
456 1073277560.000000 243.750500 0.000186057
457 1073277640.000000 243.905500 0.000185878
458 1073277720.000000 244.063000 0.000185491
459 1073277800.000000 244.216500 0.000185193
460 1073277880.000000 244.372000 0.000185252
461 1073277960.000000 244.528000 0.00018564
462 1073278040.000000 244.680000 0.000186116
463 1073278120.000000 244.836500 0.000186295
464 1073278200.000000 244.993000 0.000186087
465 1073278280.000000 245.146000 0.000185431
466 1073278360.000000 245.304000 0.000185014
467 1073278440.000000 245.457500 0.000185044
468 1073278520.000000 245.614500 0.000185789
469 1073278600.000000 245.768000 0.000186474
470 1073278680.000000 245.922000 0.000186593
471 1073278760.000000 246.079000 0.000185938
472 1073278840.000000 246.232500 0.000185163
473 1073278920.000000 246.385500 0.000184716
474 1073279000.000000 246.540000 0.000185133
475 1073279080.000000 246.695000 0.000186176
476 1073279160.000000 246.854000 0.000186951
477 1073279240.000000 247.007000 0.000186772
478 1073279320.000000 247.161000 0.000185789
479 1073279400.000000 247.321000 0.000184746
480 1073279480.000000 247.475000 0.000184597
481 1073279560.000000 247.630500 0.000185401
482 1073279640.000000 247.788000 0.000186712
483 1073279720.000000 247.941000 0.000187279
484 1073279800.000000 248.097000 0.000186593
485 1073279880.000000 248.252500 0.000185342
486 1073279960.000000 248.406500 0.000184448
487 1073280040.000000 248.563500 0.000184805
488 1073280120.000000 248.717000 0.000185997
489 1073280200.000000 248.872500 0.000187219
490 1073280280.000000 249.027000 0.000187338
491 1073280360.000000 249.184000 0.000186325
492 1073280440.000000 249.337000 0.000184984
493 1073280520.000000 249.490500 0.000184537
494 1073280600.000000 249.648000 0.000185312
495 1073280680.000000 249.800000 0.000186504
496 1073280760.000000 249.954000 0.000187398
497 1073280840.000000 250.112000 0.0001871
498 1073280920.000000 250.264000 0.000185938
499 1073281000.000000 250.421500 0.000184805
500 1073281080.000000 250.578500 0.000184746
501 1073281160.000000 250.731000 0.000185729
502 1073281240.000000 250.889000 0.000187011
503 1073281320.000000 251.044500 0.000187458
504 1073281400.000000 251.200500 0.000186861
505 1073281480.000000 251.354500 0.000185789
506 1073281560.000000 251.509000 0.000185103
507 1073281640.000000 251.663000 0.000185252
508 1073281720.000000 251.818500 0.000186116
509 1073281800.000000 251.973000 0.00018707
510 1073281880.000000 252.129000 0.000187189
511 1073281960.000000 252.284000 0.000186504
512 1073282040.000000 252.438000 0.00018558
513 1073282120.000000 252.595500 0.000185222
514 1073282200.000000 252.749500 0.00018558
515 1073282280.000000 252.907500 0.000186355
516 1073282360.000000 253.062500 0.000186981
517 1073282440.000000 253.217500 0.000186891
518 1073282520.000000 253.372000 0.000186385
519 1073282600.000000 253.528000 0.000185789
520 1073282680.000000 253.680500 0.00018561
521 1073282760.000000 253.835500 0.000185908
522 1073282840.000000 253.993500 0.000186385
523 1073282920.000000 254.145000 0.000186683
524 1073283000.000000 254.299500 0.000186653
