# NO  SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1074352280.000000 173.011500 0.000187726
1 1074352360.000000 173.163000 0.000187577
2 1074352440.000000 173.310000 0.000187487
3 1074352520.000000 173.464500 0.000187428
4 1074352600.000000 173.633000 0.000187547
5 1074352680.000000 173.780000 0.000187607
6 1074352760.000000 173.931500 0.000187577
7 1074352840.000000 174.083500 0.000187547
8 1074352920.000000 174.235500 0.000187368
9 1074353000.000000 174.394000 0.000187279
10 1074353080.000000 174.547000 0.000187338
11 1074353160.000000 174.706000 0.000187428
12 1074353240.000000 174.860000 0.000187517
13 1074353320.000000 175.012000 0.000187607
14 1074353400.000000 175.169500 0.000187577
15 1074353480.000000 175.321500 0.000187517
16 1074353560.000000 175.475000 0.000187458
17 1074353640.000000 175.630000 0.000187428
18 1074353720.000000 175.785000 0.000187547
19 1074353800.000000 175.942500 0.000187696
20 1074353880.000000 176.095500 0.000187636
21 1074353960.000000 176.249500 0.000187487
22 1074354040.000000 176.404500 0.000187338
23 1074354120.000000 176.559500 0.000187279
24 1074354200.000000 176.716500 0.000187279
25 1074354280.000000 176.872500 0.000187398
26 1074354360.000000 177.025500 0.000187517
27 1074354440.000000 177.183000 0.000187517
28 1074354520.000000 177.337500 0.000187487
29 1074354600.000000 177.492000 0.000187338
30 1074354680.000000 177.649000 0.000187249
31 1074354760.000000 177.804500 0.00018716
32 1074354840.000000 177.962500 0.000187338
33 1074354920.000000 178.114000 0.000187309
34 1074355000.000000 178.271500 0.000187428
35 1074355080.000000 178.426500 0.000187219
36 1074355160.000000 178.578000 0.00018713
37 1074355240.000000 178.734000 0.0001871
38 1074355320.000000 178.887000 0.00018713
39 1074355400.000000 179.045000 0.000187249
40 1074355480.000000 179.201000 0.000187368
41 1074355560.000000 179.353000 0.000187279
42 1074355640.000000 179.510000 0.00018716
43 1074355720.000000 179.663500 0.00018704
44 1074355800.000000 179.817500 0.00018707
45 1074355880.000000 179.975500 0.00018713
46 1074355960.000000 180.125000 0.00018713
47 1074356040.000000 180.282500 0.000187279
48 1074356120.000000 180.437500 0.000187249
49 1074356200.000000 180.590500 0.00018713
50 1074356280.000000 180.747500 0.0001871
51 1074356360.000000 180.901000 0.000186951
52 1074356440.000000 181.053000 0.00018707
53 1074356520.000000 181.209500 0.000187249
54 1074356600.000000 181.366500 0.000187338
55 1074356680.000000 181.522000 0.000187189
56 1074356760.000000 181.677500 0.000187219
57 1074356840.000000 181.835500 0.000187011
58 1074356920.000000 181.994000 0.000186981
59 1074357000.000000 182.144500 0.000187011
60 1074357080.000000 182.302000 0.0001871
61 1074357160.000000 182.454000 0.000187249
62 1074357240.000000 182.610500 0.00018707
63 1074357320.000000 182.767500 0.000186981
64 1074357400.000000 182.922500 0.000186861
65 1074357480.000000 183.079000 0.000186802
66 1074357560.000000 183.233500 0.000186861
67 1074357640.000000 183.389500 0.00018704
68 1074357720.000000 183.543000 0.00018707
69 1074357800.000000 183.697000 0.00018704
70 1074357880.000000 183.855500 0.000186921
71 1074357960.000000 184.009000 0.000186832
72 1074358040.000000 184.164000 0.000186832
73 1074358120.000000 184.318000 0.000186981
74 1074358200.000000 184.473000 0.0001871
75 1074358280.000000 184.630000 0.0001871
76 1074358360.000000 184.781500 0.00018704
77 1074358440.000000 184.936500 0.000186861
78 1074358520.000000 185.094500 0.000186891
79 1074358600.000000 185.252000 0.000186921
80 1074358680.000000 185.404500 0.000186951
81 1074358760.000000 185.562000 0.000186981
82 1074358840.000000 185.714500 0.00018707
83 1074358920.000000 185.869500 0.00018704
84 1074359000.000000 186.025500 0.000186981
85 1074359080.000000 186.177500 0.000186981
86 1074359160.000000 186.334500 0.000186981
87 1074359240.000000 186.490000 0.0001871
88 1074359320.000000 186.644500 0.00018716
89 1074359400.000000 186.802000 0.0001871
90 1074359480.000000 186.956000 0.000187011
91 1074359560.000000 187.111000 0.000187011
92 1074359640.000000 187.266500 0.000186921
93 1074359720.000000 187.424000 0.000186951
94 1074359800.000000 187.577500 0.000187011
95 1074359880.000000 187.731500 0.000186861
96 1074359960.000000 187.890000 0.000186951
97 1074360040.000000 188.042500 0.000186891
98 1074360120.000000 188.198500 0.000186921
99 1074360200.000000 188.353500 0.000187011
100 1074360280.000000 188.507000 0.00018704
101 1074360360.000000 188.664000 0.000186891
102 1074360440.000000 188.815500 0.000186802
103 1074360520.000000 188.971000 0.000186832
104 1074360600.000000 189.128500 0.000186891
105 1074360680.000000 189.280000 0.000186951
106 1074360760.000000 189.437500 0.00018713
107 1074360840.000000 189.590500 0.00018707
108 1074360920.000000 189.745500 0.000186832
109 1074361000.000000 189.903000 0.000186802
110 1074361080.000000 190.055500 0.000186951
111 1074361160.000000 190.210000 0.00018707
112 1074361240.000000 190.366500 0.000187249
113 1074361320.000000 190.521500 0.00018713
114 1074361400.000000 190.675000 0.000186921
115 1074361480.000000 190.827500 0.000186891
116 1074361560.000000 190.983000 0.000186832
117 1074361640.000000 191.140500 0.000186951
118 1074361720.000000 191.292500 0.0001871
119 1074361800.000000 191.448500 0.00018716
120 1074361880.000000 191.605500 0.0001871
121 1074361960.000000 191.759000 0.000186921
122 1074362040.000000 191.917000 0.000186772
123 1074362120.000000 192.073000 0.000186712
124 1074362200.000000 192.229000 0.000186981
125 1074362280.000000 192.384500 0.000187219
126 1074362360.000000 192.540000 0.00018716
127 1074362440.000000 192.694500 0.0001871
128 1074362520.000000 192.849000 0.000186921
129 1074362600.000000 193.007500 0.000186683
130 1074362680.000000 193.161000 0.000186802
131 1074362760.000000 193.317000 0.000187011
132 1074362840.000000 193.474500 0.000187249
133 1074362921.000000 193.627500 0.000187398
134 1074363000.000000 193.783000 0.000187279
135 1074363080.000000 193.939000 0.0001871
136 1074363160.000000 194.090500 0.000186951
137 1074363240.000000 194.248000 0.000186981
138 1074363320.000000 194.403000 0.000187189
139 1074363400.000000 194.557500 0.000187368
140 1074363480.000000 194.714500 0.000187279
141 1074363560.000000 194.866500 0.000187249
142 1074363640.000000 195.023000 0.00018713
143 1074363720.000000 195.180000 0.000186921
144 1074363800.000000 195.331500 0.00018713
145 1074363880.000000 195.489000 0.000187338
146 1074363960.000000 195.644500 0.000187517
147 1074364040.000000 195.798500 0.000187428
148 1074364120.000000 195.955000 0.00018713
