# SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1078876760.000000 173.007000 0.000179322
1 1078876840.000000 173.162000 0.000179322
2 1078876920.000000 173.309500 0.000179143
3 1078877000.000000 173.463500 0.000179202
4 1078877080.000000 173.617000 0.000179202
5 1078877160.000000 173.768500 0.000179262
6 1078877240.000000 173.926000 0.000179262
7 1078877321.000000 174.082000 0.000179202
8 1078877400.000000 174.236500 0.000179083
9 1078877480.000000 174.390500 0.000178994
10 1078877560.000000 174.545500 0.000179053
11 1078877640.000000 174.699500 0.000179143
12 1078877720.000000 174.856000 0.000179322
13 1078877800.000000 175.010500 0.000179322
14 1078877880.000000 175.164500 0.000179232
15 1078877960.000000 175.319000 0.000179143
16 1078878040.000000 175.471500 0.000179083
17 1078878120.000000 175.628500 0.000179023
18 1078878200.000000 175.782000 0.000179083
19 1078878280.000000 175.938500 0.000179262
20 1078878360.000000 176.091000 0.000179232
21 1078878440.000000 176.248000 0.000179202
22 1078878520.000000 176.402500 0.000179053
23 1078878600.000000 176.557000 0.000178994
24 1078878680.000000 176.716000 0.000178964
25 1078878760.000000 176.869000 0.000179083
26 1078878840.000000 177.024500 0.000179083
27 1078878920.000000 177.182000 0.000179113
28 1078879000.000000 177.336000 0.000179023
29 1078879080.000000 177.492000 0.000178904
30 1078879160.000000 177.648500 0.000178785
31 1078879240.000000 177.804000 0.000178725
32 1078879320.000000 177.960000 0.000178964
33 1078879400.000000 178.114000 0.000179143
34 1078879480.000000 178.267500 0.000179292
35 1078879560.000000 178.422500 0.000179053
36 1078879640.000000 178.576500 0.000178815
37 1078879720.000000 178.729500 0.000178666
38 1078879800.000000 178.886500 0.000178696
39 1078879880.000000 179.044500 0.000178845
40 1078879960.000000 179.197000 0.000178904
41 1078880040.000000 179.351500 0.000178964
42 1078880120.000000 179.509500 0.000178874
43 1078880200.000000 179.661000 0.000178696
44 1078880280.000000 179.816000 0.000178666
45 1078880360.000000 179.973500 0.000178636
46 1078880440.000000 180.123500 0.000178815
47 1078880520.000000 180.280500 0.000178904
48 1078880600.000000 180.436500 0.000178904
49 1078880680.000000 180.588500 0.000178785
50 1078880760.000000 180.746000 0.000178636
51 1078880840.000000 180.899500 0.000178636
52 1078880920.000000 181.055000 0.000178666
53 1078881000.000000 181.209500 0.000178815
54 1078881080.000000 181.366500 0.000178964
55 1078881160.000000 181.523000 0.000178904
56 1078881240.000000 181.677500 0.000178845
57 1078881320.000000 181.836000 0.000178666
58 1078881400.000000 181.989500 0.000178576
59 1078881480.000000 182.140500 0.000178666
60 1078881560.000000 182.299000 0.000178785
61 1078881640.000000 182.454000 0.000178874
62 1078881720.000000 182.609500 0.000178785
63 1078881800.000000 182.764500 0.000178696
64 1078881880.000000 182.920500 0.000178576
65 1078881960.000000 183.079000 0.000178606
66 1078882040.000000 183.232000 0.000178636
67 1078882120.000000 183.388500 0.000178755
68 1078882200.000000 183.543500 0.000178815
69 1078882280.000000 183.695500 0.000178755
70 1078882360.000000 183.851500 0.000178636
71 1078882440.000000 184.004000 0.000178576
72 1078882520.000000 184.159500 0.000178517
73 1078882600.000000 184.318000 0.000178636
74 1078882680.000000 184.470000 0.000178666
75 1078882760.000000 184.627000 0.000178755
76 1078882840.000000 184.783000 0.000178785
77 1078882920.000000 184.934500 0.000178666
78 1078883000.000000 185.093000 0.000178576
79 1078883080.000000 185.249000 0.000178666
80 1078883160.000000 185.403500 0.000178696
81 1078883240.000000 185.558000 0.000178755
82 1078883320.000000 185.712000 0.000178785
83 1078883400.000000 185.869000 0.000178696
84 1078883480.000000 186.021500 0.000178636
85 1078883560.000000 186.176000 0.000178725
86 1078883640.000000 186.334000 0.000178696
87 1078883720.000000 186.486500 0.000178666
88 1078883800.000000 186.645500 0.000178636
89 1078883880.000000 186.799000 0.000178547
90 1078883960.000000 186.954500 0.000178576
91 1078884040.000000 187.113000 0.000178696
92 1078884120.000000 187.264500 0.000178845
93 1078884200.000000 187.421000 0.000178874
94 1078884280.000000 187.578000 0.000178755
95 1078884360.000000 187.728500 0.000178576
96 1078884440.000000 187.887000 0.000178636
97 1078884520.000000 188.042500 0.000178606
98 1078884600.000000 188.196500 0.000178606
99 1078884680.000000 188.354000 0.000178606
100 1078884760.000000 188.504000 0.000178487
101 1078884840.000000 188.662000 0.000178338
102 1078884920.000000 188.816000 0.000178368
103 1078885000.000000 188.967500 0.000178398
104 1078885080.000000 189.124500 0.000178547
105 1078885160.000000 189.277500 0.000178636
106 1078885240.000000 189.434500 0.000178696
107 1078885320.000000 189.590500 0.000178487
108 1078885400.000000 189.745500 0.000178249
109 1078885480.000000 189.900000 0.000178278
110 1078885560.000000 190.051500 0.000178398
111 1078885640.000000 190.209000 0.000178576
112 1078885720.000000 190.362500 0.000178755
113 1078885800.000000 190.518500 0.000178666
114 1078885880.000000 190.674000 0.000178517
115 1078885960.000000 190.825500 0.000178338
116 1078886040.000000 190.984500 0.000178368
117 1078886120.000000 191.139000 0.000178547
118 1078886200.000000 191.291000 0.000178815
119 1078886280.000000 191.448000 0.000178815
120 1078886360.000000 191.602500 0.000178666
121 1078886440.000000 191.759500 0.000178398
122 1078886520.000000 191.916500 0.000178249
123 1078886600.000000 192.069500 0.000178427
124 1078886680.000000 192.228500 0.000178636
125 1078886760.000000 192.381000 0.000178755
126 1078886840.000000 192.537500 0.000178815
127 1078886920.000000 192.695500 0.000178576
128 1078887000.000000 192.847500 0.000178427
129 1078887080.000000 193.006000 0.000178368
130 1078887160.000000 193.162000 0.000178487
131 1078887240.000000 193.315500 0.000178696
