# NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 525733940.000000 173.021500 0.000187934
1 525734020.000000 173.174500 0.000188024
2 525734100.000000 173.324000 0.000188054
3 525734180.000000 173.476000 0.000188083
4 525734260.000000 173.626500 0.000188054
5 525734340.000000 173.780000 0.000187934
6 525734420.000000 173.937500 0.000187905
7 525734500.000000 174.090000 0.000187964
8 525734580.000000 174.244000 0.000187905
9 525734660.000000 174.398500 0.000187934
10 525734740.000000 174.552500 0.000187934
11 525734820.000000 174.710000 0.000187934
12 525734900.000000 174.863000 0.000187964
13 525734980.000000 175.017000 0.000188024
14 525735060.000000 175.175000 0.000187934
15 525735140.000000 175.327500 0.000187964
16 525735220.000000 175.480500 0.000187845
17 525735300.000000 175.638500 0.000187845
18 525735380.000000 175.788500 0.000187845
19 525735460.000000 175.947500 0.000187845
20 525735540.000000 176.103500 0.000187905
21 525735620.000000 176.256500 0.000187905
22 525735700.000000 176.415000 0.000187905
23 525735780.000000 176.569000 0.000187934
24 525735860.000000 176.724500 0.000187964
25 525735940.000000 176.883500 0.000187845
26 525736020.000000 177.038000 0.000187905
27 525736100.000000 177.193000 0.000187756
28 525736180.000000 177.346000 0.000187726
29 525736260.000000 177.503500 0.000187815
30 525736340.000000 177.657500 0.000187905
31 525736420.000000 177.812500 0.000187785
32 525736500.000000 177.970500 0.000187875
33 525736580.000000 178.122000 0.000187815
34 525736660.000000 178.279000 0.000187815
35 525736740.000000 178.434000 0.000187845
36 525736820.000000 178.585500 0.000187815
37 525736900.000000 178.743000 0.000187756
38 525736980.000000 178.899000 0.000187726
39 525737060.000000 179.053000 0.000187756
40 525737140.000000 179.209500 0.000187726
41 525737220.000000 179.361000 0.000187785
42 525737300.000000 179.516500 0.000187815
43 525737380.000000 179.668500 0.000187815
44 525737460.000000 179.824000 0.000187756
45 525737540.000000 179.981500 0.000187696
46 525737620.000000 180.132500 0.000187785
47 525737700.000000 180.288500 0.000187726
48 525737780.000000 180.444500 0.000187696
49 525737860.000000 180.599500 0.000187696
50 525737940.000000 180.755000 0.000187696
51 525738020.000000 180.907500 0.000187726
52 525738100.000000 181.063000 0.000187756
53 525738180.000000 181.220000 0.000187756
54 525738260.000000 181.374000 0.000187726
55 525738340.000000 181.530500 0.000187726
56 525738420.000000 181.687500 0.000187785
57 525738500.000000 181.842000 0.000187756
58 525738580.000000 182.000000 0.000187726
59 525738660.000000 182.150500 0.000187666
60 525738740.000000 182.308000 0.000187636
61 525738820.000000 182.463500 0.000187666
62 525738900.000000 182.619500 0.000187666
63 525738980.000000 182.774000 0.000187666
64 525739060.000000 182.929500 0.000187636
65 525739140.000000 183.089500 0.000187636
66 525739220.000000 183.244000 0.000187636
67 525739300.000000 183.398000 0.000187666
68 525739380.000000 183.554500 0.000187726
69 525739460.000000 183.704500 0.000187607
70 525739540.000000 183.861000 0.000187577
71 525739620.000000 184.017500 0.000187547
72 525739700.000000 184.169500 0.000187547
73 525739780.000000 184.327500 0.000187547
74 525739860.000000 184.482500 0.000187577
75 525739940.000000 184.637000 0.000187577
76 525740020.000000 184.793000 0.000187577
77 525740100.000000 184.947500 0.000187636
78 525740180.000000 185.103000 0.000187666
79 525740260.000000 185.259000 0.000187607
80 525740340.000000 185.413500 0.000187577
81 525740420.000000 185.567500 0.000187547
82 525740500.000000 185.721000 0.000187517
83 525740580.000000 185.876000 0.000187517
84 525740660.000000 186.032000 0.000187458
85 525740740.000000 186.187000 0.000187547
86 525740820.000000 186.342000 0.000187607
87 525740900.000000 186.498000 0.000187666
88 525740980.000000 186.653000 0.000187636
89 525741060.000000 186.810000 0.000187636
90 525741140.000000 186.964000 0.000187636
91 525741220.000000 187.119500 0.000187517
92 525741300.000000 187.275500 0.000187487
93 525741380.000000 187.428500 0.000187428
94 525741460.000000 187.585000 0.000187368
95 525741540.000000 187.740000 0.000187517
96 525741620.000000 187.898500 0.000187577
