# SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 526264223.000000 173.016500 0.000179381
1 526264300.000000 173.167500 0.000179411
2 526264380.000000 173.317000 0.000179441
3 526264460.000000 173.465000 0.000179471
4 526264540.000000 173.614500 0.000179411
5 526264620.000000 173.757500 0.000179471
6 526264700.000000 173.914500 0.000179381
7 526264780.000000 174.066000 0.000179322
8 526264860.000000 174.223000 0.000179322
9 526264940.000000 174.379500 0.000179292
10 526265020.000000 174.531500 0.000179262
11 526265100.000000 174.689000 0.000179322
12 526265180.000000 174.844000 0.000179262
13 526265260.000000 174.996000 0.000179381
14 526265340.000000 175.153000 0.000179411
15 526265420.000000 175.306500 0.000179351
16 526265500.000000 175.461000 0.000179232
17 526265580.000000 175.618500 0.000179202
18 526265660.000000 175.771500 0.000179202
19 526265740.000000 175.926000 0.000179232
20 526265820.000000 176.081500 0.000179262
21 526265900.000000 176.235500 0.000179322
22 526265980.000000 176.393500 0.000179262
23 526266060.000000 176.547000 0.000179381
24 526266140.000000 176.705500 0.000179351
25 526266220.000000 176.859000 0.000179351
26 526266300.000000 177.015500 0.000179262
27 526266380.000000 177.172500 0.000179172
28 526266460.000000 177.324000 0.000179172
29 526266540.000000 177.482500 0.000179202
30 526266620.000000 177.635000 0.000179232
31 526266700.000000 177.791500 0.000179351
32 526266780.000000 177.948500 0.000179292
33 526266860.000000 178.099000 0.000179232
34 526266940.000000 178.258000 0.000179262
35 526267020.000000 178.413000 0.000179232
36 526267100.000000 178.565500 0.000179262
37 526267180.000000 178.721500 0.000179172
38 526267260.000000 178.877000 0.000179143
39 526267340.000000 179.032000 0.000179083
40 526267420.000000 179.188500 0.000179172
41 526267500.000000 179.340000 0.000179232
42 526267580.000000 179.497000 0.000179322
43 526267660.000000 179.651500 0.000179232
44 526267740.000000 179.803500 0.000179113
45 526267820.000000 179.957000 0.000179143
46 526267900.000000 180.111500 0.000179143
47 526267980.000000 180.270000 0.000179172
48 526268060.000000 180.423000 0.000179113
49 526268140.000000 180.577000 0.000179053
50 526268220.000000 180.733500 0.000179053
51 526268300.000000 180.888500 0.000179083
52 526268380.000000 181.042500 0.000179172
53 526268460.000000 181.197500 0.000179083
54 526268540.000000 181.352500 0.000179053
55 526268620.000000 181.508500 0.000179143
56 526268700.000000 181.664000 0.000179053
57 526268780.000000 181.823000 0.000179143
58 526268860.000000 181.977500 0.000179083
59 526268940.000000 182.133000 0.000179053
60 526269020.000000 182.289500 0.000179053
61 526269100.000000 182.442000 0.000178994
62 526269180.000000 182.600000 0.000179023
63 526269260.000000 182.756500 0.000179053
64 526269340.000000 182.909500 0.000178994
65 526269420.000000 183.068000 0.000178994
66 526269500.000000 183.223500 0.000179053
67 526269580.000000 183.377000 0.000178994
68 526269660.000000 183.533500 0.000179083
69 526269740.000000 183.684000 0.000179023
70 526269820.000000 183.841000 0.000178964
71 526269900.000000 183.996500 0.000178934
72 526269980.000000 184.149500 0.000178904
73 526270060.000000 184.306500 0.000178934
74 526270140.000000 184.461500 0.000178994
75 526270220.000000 184.616500 0.000178964
76 526270300.000000 184.771500 0.000178934
77 526270380.000000 184.926500 0.000178934
78 526270460.000000 185.081000 0.000178994
79 526270540.000000 185.236000 0.000178994
80 526270620.000000 185.392500 0.000178964
81 526270700.000000 185.546000 0.000178934
82 526270780.000000 185.699500 0.000178845
83 526270860.000000 185.858000 0.000178785
84 526270940.000000 186.009000 0.000178904
85 526271020.000000 186.166500 0.000178845
86 526271100.000000 186.320000 0.000178934
87 526271180.000000 186.475000 0.000178964
88 526271260.000000 186.633000 0.000178964
89 526271340.000000 186.790000 0.000178964
90 526271420.000000 186.943000 0.000178964
91 526271500.000000 187.100500 0.000178845
92 526271580.000000 187.252000 0.000178785
93 526271660.000000 187.410500 0.000178696
94 526271740.000000 187.566000 0.000178785
95 526271820.000000 187.718500 0.000178845
96 526271900.000000 187.874500 0.000178934
97 526271980.000000 188.027000 0.000178934
98 526272060.000000 188.185000 0.000178964
99 526272140.000000 188.343000 0.000178964
100 526272220.000000 188.493500 0.000178904
101 526272300.000000 188.650000 0.000178874
102 526272380.000000 188.801500 0.000178785
103 526272460.000000 188.957500 0.000178696
104 526272540.000000 189.111000 0.000178696
105 526272620.000000 189.266000 0.000178696
106 526272700.000000 189.424000 0.000178755
107 526272780.000000 189.577500 0.000178874
108 526272860.000000 189.732000 0.000178934
109 526272940.000000 189.888500 0.000178904
110 526273020.000000 190.039500 0.000178815
111 526273100.000000 190.198000 0.000178755
112 526273180.000000 190.354500 0.000178696
113 526273260.000000 190.506500 0.000178666
114 526273340.000000 190.663500 0.000178636
115 526273420.000000 190.817000 0.000178696
116 526273500.000000 190.972000 0.000178845
117 526273580.000000 191.128000 0.000178785
118 526273660.000000 191.281500 0.000178904
119 526273740.000000 191.436000 0.000178874
120 526273820.000000 191.593000 0.000178785
121 526273900.000000 191.747500 0.000178755
122 526273980.000000 191.905500 0.000178666
123 526274060.000000 192.060500 0.000178666
124 526274140.000000 192.217500 0.000178666
125 526274220.000000 192.372500 0.000178696
126 526274300.000000 192.528500 0.000178636
127 526274380.000000 192.682500 0.000178666
128 526274460.000000 192.838000 0.000178696
129 526274540.000000 192.993500 0.000178725
130 526274620.000000 193.148500 0.000178785
131 526274700.000000 193.305500 0.000178755
132 526274780.000000 193.460000 0.000178725
133 526274860.000000 193.615500 0.000178636
134 526274940.000000 193.772500 0.000178606
135 526275020.000000 193.922500 0.000178666
136 526275100.000000 194.076500 0.000178666
137 526275180.000000 194.233000 0.000178666
138 526275260.000000 194.387000 0.000178666
139 526275340.000000 194.541500 0.000178547
140 526275420.000000 194.698000 0.000178666
141 526275500.000000 194.854500 0.000178696
