# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.  No bandpass filter.

SAMPLE: B3-The3-02, Ade edge filter, sent from Caltech 2016-06

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1864942140.000000 208.004000 0.00114609
1 1864942220.000000 208.156500 0.00114609
2 1864942300.000000 208.309000 0.00114513
3 1864942380.000000 208.464000 0.00114513
4 1864942460.000000 208.618500 0.00114561
5 1864942540.000000 208.775500 0.00114609
6 1864942620.000000 208.928500 0.00114656
7 1864942700.000000 209.082000 0.00114656
8 1864942780.000000 209.238500 0.0011468
9 1864942860.000000 209.391000 0.00114656
10 1864942940.000000 209.547500 0.00114585
11 1864943020.000000 209.703000 0.00114537
12 1864943100.000000 209.857000 0.00114513
13 1864943180.000000 210.011500 0.00114537
14 1864943260.000000 210.166500 0.00114585
15 1864943340.000000 210.323000 0.00114632
16 1864943420.000000 210.475000 0.00114609
17 1864943500.000000 210.626000 0.00114585
18 1864943580.000000 210.784000 0.00114537
19 1864943660.000000 210.939500 0.00114537
20 1864943740.000000 211.091500 0.00114537
21 1864943820.000000 211.247500 0.00114609
22 1864943900.000000 211.402500 0.00114632
23 1864943980.000000 211.559500 0.00114656
24 1864944060.000000 211.712500 0.00114609
25 1864944140.000000 211.867500 0.00114537
26 1864944220.000000 212.022000 0.00114466
27 1864944300.000000 212.178500 0.00114394
28 1864944380.000000 212.336000 0.00114346
